String	Entity			
To Robert Harvey I have edited.  The answer provided isn't working for me for some reason...				
"I've reopened, but maybe you misunderstood me.  ,getRuntime().totalMemory, ,isn't going to work, for what you want to do."	getRuntime().totalMemory			
"Thanks.  Yes, I understand.  The answer that I referenced above seems to indicate it would."				
"To RobertHarvey: To clarify, why do you say ,totalMemory, is not going to work for To MattB? Looking at this question as it is currently phrased, To MattB wants to measure the memory use of his Java program running on a single JVM instance. For this scenario, ,totalMemory - freeMemory, is correct. The results of ,totalMemory, are not affected by other JVM instances (i.e., processes) running on the same machine. And To MattB makes no mention of other programs running inside the same JVM instance as his program. How is ,totalMemory, not correct?"	totalMemory			
"Thank you for your response cambecc.  This gives me some insight to my problem, although if I add, for example, more fields to NewObject class (such as more NewObject) I should be able to see a memory increase with my program, but I get a stack overflow instead.  Running your main method, I get the following, which appears to be pretty unreliable, as it fluctuates from more to less to more again...  (I've added to the main questions, since formatting is messy for a comment)"				
"BTW, ,Diff, is ,not, the amount of used memory. It is a measurement of the precision of ,freeMemory,, i.e., the difference between the previously reported amount of ,freeMemory, and the current reported amount. You would expect it to remain fairly constant because it would be odd for the precision of ,freeMemory, to change chaotically."	freeMemory			
"You just blew my mind with the ,2_000_000,, this is the first time i've seen the ,_, feature used and didn't know it was a thing"				
"runtime.gc();, is almost unnecessary. It just hints at the JRE to start GC. But should GC be started is up to JRE."	runtime.gc()			
"To RaphaelTeyssandier ,IllegalArgumentException: Missing either To PUT URL or To Url parameter. for method AuthRegisterUserApi.getStatus, and my ,REGISTER_URL = BASE_URL + ""register/"";"	AuthRegisterUserApi.getStatus			
"Can i see the all URL ? And you can try to keep ,To Field, and add above ,To PUT,, ,To FormUrlEncoded"	To			
BASE_URL = http://ip_address:8400/api/	BASE_URL			
"To RaphaelTeyssandier The same error (,Missing either To PUT URL or To Url parameter. for method AuthRegisterUserApi.getStatus,) with ,To Field, and ,To FormUrlEncoded, above ,To PUT"	AuthRegisterUserApi.getStatus)			
"Response.rawResponse = Response{protocol=http/1.1, code=400, message=Bad Request, url=http://ip_address:8400/api/register},. Co this is not working."	Response.rawResponse			
"You are sure, that your request is a put and not a post ?"				
Have try with a different arguments ? Because since you put him in the database you can't reput him ?	Because			
"Trying with different params on app first - response null; on Postman - response ,status = true,. Mindblow..."	params			
"Okay, that's weird, on postman the endpoint is register/ or register ?"	register/			
"You saved me, man!!! Thanks a ton.By mistake, I deleted this line and was facing this error."				
I do believe the current choose answer is incomplete and partially false. I have synthesized the best of the other answers in a community-wiki post (no karma involved). You might consider choosing this one instead				
"""I will occasionally document private and package private methods for my own benefit"". This is fine if you are the only person who is ever going to look at the code, but not otherwise."				
I don't think this answers the question. It only describes what you normally do. I would like to know why.				
"""Classes which have public members but which are not intended for external consumption are prominently marked in the class javadoc."" <-- How do you mark them?"	javadoc			
"I would argue that documenting every single method for the sake of thoroughness is a bad idea. It leads to cluttered, poor quality documentation. Code should be self describing as much as possible. Putting docs on that is a waste of time for you and the reader. The increased noise level makes it hard to see the docs that are actually important. The volume of nonsense docs increases the chance of docs becoming obsolete without being updated. ""setName() Sets the name. \To param name The name to set."" ""getName() Gets the name. \To return The name."""	name			
"Exactly as NateS said. Property accessors (getters & setters) having no behavior/side-effects should not be the main focus of documentation. Don't ,ever, write noisy repetitive nonsense docs for trivial methods."				
"Right on! Provided that bla is public. You do not want reference to ,internal, algos in your public javadoc."	internalalgos			
"The user needs to know about bla in order to set foo meaningfully. To that extent bla is public, even if the user cannot modify any other data associated with it."	bla			
"I disagree, I actually find that comments often save me time and effort when I come back to a project 6 months later."				
I sooo disagree with the first part of this answer! And I do completely agree with nemo comment	nemo			
"I just proposed to the author of the question to ,not, choose your answer and choose my 'community-wiki' (no rep' points) summary answer instead. If that happens, let me know: I will upvote two of your other answers I find interesting ;) -15 + 20, you will not loose any points!"				
"nemo and VonC -- he didn't say that he didn't document code for himself, only that he didn't javadoc it. That's kind of what I do."	nemo			
"i definitely write comments. it is incredibly useful. however, i find the javadoc style way too cumbersome, leading to way too much green between my code, making it hard to read. so javadoccing I leave for code others will use. for myself, just simple // comments will do!"				
"Your answer has some good points in it in my opinion. +1. And I have referenced it in my ""community-wiki-summary"" answer"				
"The burden should be on developers to explain what their methods do. Method names should be short if possible and this can prevent them from being self-explanatory especially if there are extensive parameters and/or method side effects. In addition, the object returned may not be evident in certain cases."				
I think he's referring to actually authoring documentation comments and not just putting in useless To param foo stuff with no substance (which is worse than no javadoc at all)				
To Michael - maybe move your example to an answer by itself?	itself			
How about mentioning a simple fix such as creating a new String object explicitly?	String			
"To Murat: bumping an old comment: because it internally refers to the same char array as the original string, just with a different offset and length. If you create a lot of overlapping substrings, it actually saves memory."	comment			
"+1: I'd say this is one of the biggest ""traps"" to fall into in the JDK... took me way to long to determine it was the reason my webcrawler was leaking the entire HTML source of every page it saw. Seriously, Sun/Oracle... if you're going to have an ""optimi"	webcrawler			
"Oh, and it's even worse in that it hits you whenever you use other API that's based on ,substring(), internally, like the stuff in ,java.util.regex,."	java.util.regex			
It's a good idea to use weak references for any listener that is expected to live longer than what it is listening to.				
"This is almost the standard example for a memory leak, because it's obvious yet easy to forget."	This			
"Actually, it can turn into an outright leak if you create Thread objects and never call start() - the stack memory is then never reclaimed, IIRC."	start()			
Interesting. Didn't know that.				
"To Michael Borgwardt: I don't think that's the case; do you have a source?  [edit]: it looks like it may have been a bug in older versions of the JVM, but should be fixed in Java 5."				
Could you provide your annotated domain class or some other example class?	annotated			
"""Join<Owner, Address> address = cq.join(Pet_.owners).join(Owner_.addresses);""  Wowee, that's actually supposed to work? Or maybe it did once upon a time? CriteriaQuery doesn't even have a ""join"" method. YIKES!"	Join<Owner			
"Hi, is it possible to join with condition e.g:   ,address.on(cb.greatest(addresses.get(""id"")));, ?"				
"Why has this so many upvotes, there is no ""join"" on the query object!"				
"Can you give an example of the ""right"" annotations to go with this?"	this			
"What kind of filtering, validation, rejection do you want? For example, you can create your own MessageBodyWriter/Reader to handle validation. Or you can set the To Context in the constructor for custom HTTP header parsing or URI parsing."	MessageBodyWriter/Reader			
"Most applications of this feature would be related to security.  For example, my (non-Jersey) web application will generate one-time-use nonces for certain AJAX calls (all under the same path) to Jersey.  The interceptor would be responsible for checking the validity of this nonce."	AJAX			
Thanks for adding your solution - it's useful for the rest of us				
Is there any annotation for this?	this			
How to Reject Request with this ?	Request			
To Override     public ContainerResponse filter(...) is not valid in this type of class.	ContainerResponsefilter(...)			
It looks like this works on the client-side only.  Do you know if there's a similar filtering mechanism for the server?	client-side			
I don't find enough documentations/tutorials for using Retrofit.	Retrofit			
Did you get it resolved ?				
better to use volley for fast networking.	volley			
"A little late to the party, but for future searchers: you can find a fairly extensive guide for retrofit ,here,."	retrofit			
"Easy way to add retrofit in your project with just one click. (one time setup) ,medium.com/To mestri.vinayak.n "	retrofit			
Excuse me if my question is very trivial but I'm really struggling to start using Retrofit (yet zero progress). Should we have something like a php page to accomplish the task?	Retrofit			
Thank you. Indeed I've already tried this and I can understand it. You create a php page which receives what you have send it as POST and generates the response in JSON format. Do you anything even close to that tutorial for retrofit?				
"It is not a php page actually., it should be an api, normally plain php script that accepts request like POST/GET in JSON/XML format. Here is an example of api. function login_post(){         	$email = $this->post('email');     	$password = $this->post('password');     	     	$data = $this->Auth_model->authenticate($email, $password);      	print_r($data);  }"				
Cool it actually worked.  I was able to get the Android device's default timezone by calling TimeZone.getDefault().	Android			
"it is not changing, it is same as UTC time, what can i do ?"	it			
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem."	RestTemplate			
"I found a bug that describes the problem you have in ,jira.spring.io/browse/SPR-9999, . It is from last year but perhaps it has not been fixed yet. It suggest to use a different factory so that another client implementation will be used (RestTemplate template = new RestTemplate(new HttpComponentsClientHttpRequestFactory());"	(RestTemplate			
"Actually this is just a complex pojo. It is confusing called, agree. Real exception is - BpmRestException"	pojo			
"Yep, if that's a POJO then all is fine. I'll rename the class (at least in the post). Exceptions usually expose a constructor accepting another exception (a cause) and one may get easily confused as I did."				
Good point on the additions to the HashTree. I was playing around with the JMeter API a little while back but I'm a bit rusty on the details of data structure passed into the JMeter Engine configure method :)	JMeter			
Hi.I am getting the following error. 2014-02-16 18:22:20.957 [jorphan.] (): strPathsOrJars[0] : null/lib/ext DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/workspace/mani/bin DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter.jar DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter_core.jar				
To VishalPuliani I'm not sure if it is even possible or practical to use the standalone Java program for distributed testing.	Java			
"Hi, what changes do i have to do when i want to run this as distributed testing?"				
"Has anyone managed to generate html results, from the csv or jtl file, using java api?"	java			
It is not possible to open simpleProject_generated.jmx file with JMeter GUI!? it faced with error.	simpleProject_generated.jmx			
"Important: Google Translate API v2 is now available as a paid service. The courtesy limit for existing Translate API v2 projects created prior to August 24, 2011 will be reduced to zero on December 1, 2011. In addition, the number of requests your application can make per day will be limited."	GoogleTranslateAPIv2			
"To r0ast3d, See ,my answer,. ;-)"				
it is 100% working. I have just used it one moment ago. What is the issue/error?				
Amazing. The only unofficial but working method I found. :)				
"Have fixed script. Replaced sourceLang = 'auto' with sourceLang = ''.  Now you can translate with such code: translate("""", ""de"", text). And after redeploying your google script do not forget to change ""Project version"", because it does apply your changes if you do not do it."				
"Worked like a charm! Thank you! If anyone needs SpringBoot version, here's the request object... `     String url = "",script.google.com/macros/s/AKf,****xhI/exec?q="" + URLEncoder.encode(text, ""UTF-8"") + ""&target="" + this.to + ""&source="" + this.from;     String translatedText = restTemplate.getForObject(url, String.class);`"				
"java-google-translate-text-to-speech translate between English and another languages (mostly). In case translate from 'Russian' to 'Estonian' I get '? ? ? ' answers. You can translate 'Russian'->'English'->'Estonian' and this will work correct, but this way not always right in semantic rules."	java-google-translate-text-to-speech			
How can this be free? Is it legit?				
"To anonymous See ,this,. Probably it helps you."				
I get java.io.IOException: Server returned HTTP response code: 403 for URL from some time. Do you have any solution for that?	java.io.IOException			
"To Ionic膬Biz膬u: This also doesn't work anymore ,java.io.IOException: Server returned HTTP response code: 503 for URL: http://translate.google.com/translate_a/t?text=Hello%20World&oe=UTF-8&tl=en&client=z&sl=&ie=UTF-8"				
Is it free? Does it require an api key?				
The source code can be used freely. It does require an API key - so you will be billed by Google according to the usage.	It			
Thank you! +1 for now (I will wait a little for other answers). You can tell I have not yet seriously read the JDK6 javadoc... ;)				
"You can't generically create an array. For example, if T is a generic type then ""new T[0]"" doesn't compile. You'd have to do something like ""(T[]) new Object[0]"", which generates an unchecked cast warning. For the same reason, you can't use generic types with varargs without warnings."	Object[0]			
"no real-time process involved here. And the collection does not represent a ""property"", just computed value."				
"Thank you for the code and precisions. +1, but I might not use that kind of extra layer in my code anytime soon..."				
"I understand, but what I really want to say that its like using Collections.unmodifiableCollection. It gives you nothing until your collection is modify not by you."	Collections.unmodifiableCollection			
"All Sets pretty much have to implement some sort of way to quickly find duplicates, either by Comparable or hash codes, otherwise scanning for dups would be too painful."				
"You can give a TreeSet a Comparator which means the elements don't need to be Comparable (should have been a separate creation method for the Comparable mode, IMO)."	TreeSet			
You can also check if something is null as you pull it out of the set.	set			
Alternative idea: if the only reason for this is preventing bugs do a scan for nulls in your JUnit test suite to pick up any null leaks into the set.	nulls			
"Sun? Updates to the collection framework are likely to be driven by Google. Btw, there should hopefully be a collections BOF a JavaOne."	Google			
classic example of favoring composition over inheritance..+1	inheritance..+1			
"This implementation has the drawback of being immutable, too. From the docs: ,For this reason, and to avoid general confusion, it is strongly recommended to place only immutable objects into this collection.,. Don't think that's what the OP was asking for."				
"You might be better off using composition instead of subclassing, since you're not in control of the class you are subclassing (what if Sun adds a new method to sets that would allow users to add null?)"	subclassing			
"This is explicitly advised against in Effective Java, you can refer to it for the reasons why. Extends ,AbstractSet, and wrap an existing set is the way to go."	AbstractSet			
"To cdmckay: If you haven't already upvoted Tom Hawtin's answer, do it now! :)"	)			
"Oh, I see you've added your own answer instead."				
To matt b: is this true of the HashSet in IBM's JVM?  JRocket?  GNU Classpath?  The new optimized one in Sun's Java 8?  Unless this is in the JLS you can't count on it.	HashSet			
"See ,similar Question, with more answers."				
"This is a bit misleading answer. You may see the right answer here ,stackoverflow.com/questions/24239978 "				
"No, it doesnt throw any exception at the server side. It seems that the toSocket outputstream obj still works at the server side, but at the client side the connection is closed."	toSocket			
"No, it does a one way shutdown, closing the input half of the socket (so that you cannot receive any more data), but still letting you send your message on the output half, which I thought is what you were asking. When you ultimately call close() on the socket, the output side gets closed as well."	close()			
I was looking for a way to close the OutputStream without closing the socket and it did the trick! Thank a lot mate! You ended an interminable quest...	OutputStream			
"You should clarify what platform you are on (java, php, ruby?) and what library+version you are using now, and to what library+version you are trying to update to (include the exact versions and library names)."				
Looks like the proper answer to this question				
"Best Example for deprecated httpClient, NameValuePair. Recommence to other."				
how about upload file to server?	upload			
"What is ,IOUtils, in your answer?"	IOUtils			
"Improved the answer by adding links to the ,Commons IO, (,IOUtils,) documentation and the maven search site."	IO			
"I believe it's better to use HttpURLConnection, as described in ,stackoverflow.com/a/2938787/3281252,."	HttpURLConnection			
I think BrianH's answer counts as a definitive answer =)	BrianH's			
"Even without generics, bridge methods are necessary for covariant return types."	covariant			
"To BrunoJCM good catch. I have restore the link (the class has been moved from project ,org.springframework.core, to project ,spring-framework,: ,fisheye.springsource.org/browse/spring-framework ,)"	org.springframework.core			
A third use of bridge methods is the alteration of a methods visibility to public if the class was declared with package private visibility.				
"With Closeable you can throw only IOException, while with AutoCloseable interface you can throw all the Exception"	AutoCloseable			
"This question looks like a duplicate:  ,stackoverflow.com/questions/1395551 "	stackoverflow.com/questions/1395551			
"If the parameter is ""translated_text"" with underscore and the innerClass iis ""translatedText"", the result for this variable is null. I'd resolved this: ,stackoverflow.com/a/15907855/3332734"	underscore			
There are Gson annotations when the json field doesn't match the pojo field name.	Gson			
"Yeah! To SerializeName(""json_field"") it's a way."				
Thanks for the answer however I am choosing second answer to be be more acceptable how ever your answer made my understanding more clear about Gson...cheers	Gson...cheers			
Nice to know a simple and new method! Thanks	method			
That's super old school and nobody uses that library anymore in the real world. Pretty funny that it got marked as the right answer.				
"To Kevin for such a simple task, I still find it the best approach. Just 2 LOCs and you get your result. You had to define 3 classes to get the same result with Gson. I won't deny its advantages in other situations, but I do not see any here.\"	Gson			
"That is true Aleadam, but what happens when you do need that extra stuff. Plus it makes it cleaner and easier to read, as well as to update. Java is all about OO programming no?"				
"To shabunc: you're correct. JavaHg is using the only stable API there is for Mercurial: the command line. This means that it will keep working if the underlying data structures change. However, you're correct that unlike, say, JGit, it isn't a Java-only library since you need to install Mercurial too."	JavaHg			
It's outdated and seems to no longer being developed.				
"apparently, Jython cannot run Mercurial just yet, partly because of the sections of Mercurial that are written in C."				
"Mercurial has back-ported most C modules to Python. I think they're almost, if not completely, done with that."	Mercurial			
"We are done, you can now use a --pure flag to setup.py in order to use the modules found under mercurial/pure. But note that this comes with a large speed penalty (I don't know how Jython fares, though)."				
"That does look promising. It uses Maven interfaces, of course, but I guess/hope that those can be used outside of Maven as well, at least easier than the graphical plugins I mentioned in the question. As for interfacing with hg, it calls the command-line program (which is fine)."	It			
Xuggler is great as long as one of the released versions will work for you and you aren't expecting any fixes or updates. Its pretty much DIY now.				
"To Mondain It's great for lower level transcoding work, but if you just want to build a media player it requires a lot of work just to get relatively simple features working properly (such as seeking.)"				
"Yep, thats true. I've tried all of the libraries and only had luck with Xuggler and VLCJ (tnx for recommending VLCJ, ,STACK,). I decided to use VLCJ since Xuggler has no camera support. For now I developed app that uses VLCJ and streams from 2 different cameras and desktop into 3 separate .flv files at the same time and it works. But I don't use out of process.. to be true, didn't heard about out of process player until yours answer on my question. I'll go now and read your article."	VLCJ			
"Any current best recommendation as of now, as this post is about 5 years back. I hope there may be some libraries now. is any?"	now			
"To kuhajeyan The only thing that's really changed is that some of the bugs with more than one VLCJ instance in the same VM have been fixed, but AFAIK still not all of them. There's certainly no additional Java based libraries that I know of that offer better support."				
"To berry120 thanks, me too finally had to resorted to vlcj, my initial intention is to keep everything to run from within, would have felt fine if xuggler was still active. Sad to see it is no longer active."	xuggler			
I had to use custom stream that decrypted mp4 on the fly and passed data to vlclib through memory buffer (imem). That was so slow that mp4 video started up in like 20-30 seconds. Each read had to be done through JNI. any ideas how to do this othervise?				
Isn't jffmpeg just a codec pack for JMF rather than a media library?				
"Xuggler definitely looks promising, I'm currently using it with good results. Thanks!"	Xuggler			
"FWIW if others are looking at this, Xuggle has now been inactive for a number of years (,xuggle.com/xuggler/status,)."	Xuggle			
"gstreamer-java definitely looks promising, thanks for that. I'll have a play around and see what I can get working!"	gstreamer-java			
"I know, they pride it on being a drop in replacement... if only it were that easy. Ive never actually got down to toying with VLCJ, but it being so unstable would def cause you some serious issues. Java just really lacks a good up to date multimedia solution. You might find my other post interesting about using JMF without having to explicitly install it. I liked it above."	JMF			
"Thanks for that link - I'd actually come across that answer when searching around earlier, it's good to solve the installer problem! I couldn't get VLCJ to work reliably at all. It kept crashing before doing anything initially, and then when I did manage to get it to work it kept crashing at seemingly random intervals. It's a shame, because if it ""just worked"" it'd be exactly what I needed!"				
"As per some of the other comments, I'd be weary of using anything based on Xuggle as it's been inactive for a number of years now. Besides, it's a rather low level libary and is much more suited to processing of individual frames rather than actual video playback."	Xuggle			
"Have you looked into ,CalendarContract, to get a better idea?"	CalendarContract			
"I really can say its a very bad naming. I don't why can't they just name it like ,setUri,. And for the setExtras just name it like, ,setData, instead? I don't know, I still don't get the entire picture. I am just hoping the name would communicate better."				
"A tiny correction. ""string"" should be ""String"" in the second example."	correction			
"so how come it works even if I remove this line? ,.setData(CalendarContract.Events.CONTENT_URI);, ?"				
` So it's waiting for something to be inserted.` who is inserting anything?				
"Also worth noting is that you can access upto 3200 tweets only using pagination and count - ,apiwiki.twitter.com "	pagination			
"New link for the Things Every Developer Should Know : ,dev.twitter.com/overview/general "				
"Tyler,  Thanks for the response! However, when I run the same code as said above I get this error   <code> ""[Thu Jun 03 01:29:51 IST 2010]Using class twitter4j.internal.logging.StdOutLoggerFactory as logging factory. [Thu Jun 03 01:29:51 IST 2010]Use twitter4j.internal.http.HttpClientImpl as HttpClient implementation. Failed:Connection refused: connect"" </code> I am able to get the public timeline using the getPublicTimeLine() function."	twitter4j.internal.logging.StdOutLoggerFactory			
"You shouldn't have to authenticate to do this, are you not able to use the code above to get the public timeline of google or your own page? What are you using for paging? Could you try with just ""username"" as the only parameter to getUserTimeline()"	username			
"HI To rednoyz I tried the code but it always give me bad authentication error.  ,400:The request was invalid. An accompanying error message will explain why. This is the status code will be returned during version 1.0 rate limiting(,dev.twitter.com/pages/rate-limiting,). In API v1.1, a request without authentication is considered invalid and you will get this response. message - Bad Authentication data. code - 215"				
To viren did you set your authentication keys?				
You need to set your authentication keys -- fill in the values in ConfigurationBuilder	ConfigurationBuilder			
"You'll only need the consumer keys for this, not the access tokens. little detail."				
"I get an error, 'Authentication credentials are missing', unless I use the access tokens as well."	tokens			
"tail, traditionally should return the the list minus its head. That's what you get in any functional language."	tail			
"Shouldn't ""head"" return an element rather than a sublist? I.e. ,public <T> T head(List<T> list) { return list.get(0); }"				
"You can do that too. This is probably in line with the common meaning of   ,head, and ,tail"				
"Finally, someone knows what ,tail(), is supposed to be."	tail()			
"If you think that calling head / tail on empty list is exceptional, you are welcome to throw an exception. Note though, that many list processing idioms (especially recursive / functional) consider such situation perfectly valid."	exception			
Thing is these methods are not unnecessary - functional style list handling is PITA without these.				
"Not just a PITA, it's much less useful. Let's say I have a lazy list and I want to get it's tail. What do I do? Also, in order to get the tail of a list I have to walk all of it to calculate the length. That's a lot of waste."				
This sounds like the argument Oracle used for not having booleans in their database.	booleans			
"""Get last"" isn't the same as ""tail""."	tail			
"The question gets the definition of tail() wrong, and the answers reproduce that mistake."	tail()			
"This answer copies the mistake in the question, which gives an incorrect definition of tail(). Tail means the list sans the head, not the last element of the list."	tail()			
"To LawrenceDol - seems like your issue is with the question, not this answer, since the answer addresses the question as asked.  your interpretation seems to be one of the two valid interpretations according to wikipedia: ""The 'tail' of a list may refer either to the rest of the list after the head, or to the last node in the list."""				
To LawrenceDol - please remove your misguided downvote.				
"To LawrenceDol your definition is not the only one. For example, check out javadoc for ,Deque.peekLast, ,the tail of this deque, or null if this deque is empty,. Documents for Java collections define tail as the last element. Original question also uses this definition."	Deque.peekLast			
"This answer also reproduces the mistake in the question, which gives the incorrect definition of tail.  A tail functions returns the list without the head, so tail is actually ideally suited for a singly-linked list, not an array or doubly-linked list."	tail			
"To Sigmax This answer answers the question that was actually asked, using  the same definitions that the OP used. I do not see the point of stating that he asked the wrong question, or of criticizing answers that answer it."				
"possible duplicate of ,How to create your own library for Android development to be used in every program you write?"	How			
"Publish your project on GitHub. (Edit: sorry, meant to post this as comment not answer.)"	GitHub			
"Check this tutorial ,github.com/danielemaddaluno/gradle-jcenter-publish"	github.com/danielemaddaluno/gradle-jcenter-publish			
put it on maven-central				
"There's an example here ,stackoverflow.com/a/30798785/3975649, using JitPack"	JitPack			
This is really cool because it doesn't require projects that already use GitHub to upload to another repo. Too bad JitPack doesn't yet support the NDK.	This			
"The ,guide, says users of the repository will also need to add ,jcenter(), to the ,repositories, section of their build.gradle."	jcenter()			
Thanks Andrejs! Decent solution.. :)				
"While this answer is correct, it does not meet the OP's question aspect for an alternative for the usage of To SuppressWarnings(""unused"")"	To			
"Furthermore, I am ,unable to build the libraries, with gradle. I downloaded the resources from GitHub and renamed the folders as told in the readme, but ,gradle always fails, with an '* What went wrong: Could not determine the dependencies of task ':test'. > Configuration with name 'default' not found.' I don't know how to fix this, can you help? Right now I have copied the raw resource files into my eclipse project, but there must be a way to fix that gradle problem. I would appreciate any answers, Thanks in advance,  Lukas"	folders			
"hello grkvlt! i have been able to figure this out but i'm stuck here on how to send and receive messages. please advise how to proceed. LukeLR, check the telegram-bot sample app! it resolves some of these issues of urs!"	telegram-bot			
"While this link may answer the question, it is better to include the essential parts of the answer here and provide the link for reference. Link-only answers can become invalid if the linked page changes"				
Serious difference here!	here			
Is there any way to parse the same but using NewtonSoft?	NewtonSoft			
which platform are you using?				
"Altough installing libgnome2-0 fix it, we, as developers, have to workaround those things. Thank you! :-)"				
"To MightyPork Good efforts. Keep it up. +1 for ,The goal is achieved by using system-specific commands,."	system-specific			
"An improved version of MightyPork's class is available at ,github.com/jjYBdx4IL/github-utils/blob/master/src/main/java/com ,. Feel free to contribute improvements."	MightyPork's			
"It was moved to ,github.com/jjYBdx4IL/misc/blob/master/swing-utils/src/main/java "	github.com/jjYBdx4IL/misc/blob/master/swing-utils/src/main/java			
"To MightyPork have you considered wrapping this up as a library and distributing via bintray or similar? It'd be really useful for multiple projects to just be able to pull this in via a dependency. I'm happy to do so if you like, but since it's not my code I wouldn't want to without permission."	bintray			
"On CentOS 7 running XFCE, ,sudo yum install libgnome, did the trick!"				
"Hi, thanks for your answer! I intended to maintain the identifier strings (e.g. ,Object1,), to be able to properly parse the Container class for its content, just like I would in JavaScript. Do you know how to go about that?"	Container			
"If those identifier strings are tied to every item (,Node,), not to the container (,nodes,), then you need to make it a property of the ,Node, instead. JS objects with an unknown amount of properties and unknown property names are simply not a good idea/practice. You need to put them in an array and give the array a fixed name."				
"That kinda beats the purpose of using JSON altogether. If I cannot mirror the object mapping style of JSON in JAVA, I might aswell write my own API. ;-) I'm basically trying to do the same thing as in this <a href="",stackoverflow.com/questions/2710137 ,> while somehow retaining the identifier strings."	JSON			
"Yes, I know. You need to group those items in ,an array, in the JSON side, using the ,[, and ,], things to identify its start and end. Only then you can collect them in a ,List,. Check my answer and the code example in that topic once again. ,This tutorial, may also be useful I think."	JSON			
