string1   	string2	Entity	Performance	Usability	Security	polarity
"Unresolved reference: RestAdapter, It appears RestAdapter is no longer used in version 2. This question helped explain that: ,stackoverflow.com/questions/32424184NULL"	Thank you. Indeed I've already tried this and I can understand it. You create a php page which receives what you have send it as POST and generates the response in JSON format. Do you anything even close to that tutorial for retrofit?	RestAdapter	0	0	0	0
"Unresolved reference: RestAdapter, It appears RestAdapter is no longer used in version 2. This question helped explain that: ,stackoverflow.com/questions/32424184NULL"	Thank you. Indeed I've already tried this and I can understand it. You create a php page which receives what you have send it as POST and generates the response in JSON format. Do you anything even close to that tutorial for retrofit?	It	0	0	0	0
"Unresolved reference: RestAdapter, It appears RestAdapter is no longer used in version 2. This question helped explain that: ,stackoverflow.com/questions/32424184NULL"	Thank you. Indeed I've already tried this and I can understand it. You create a php page which receives what you have send it as POST and generates the response in JSON format. Do you anything even close to that tutorial for retrofit?	RestAdapter	0	0	0	0
I don't find enough documentations/tutorials for using Retrofit.   	"It is not a php page actually., it should be an api, normally plain php script that accepts request like POST/GET in JSON/XML format. Here is an example of api. function login_post(){           $email = $this->post('email');       $password = $this->post('password');              $data = $this->Auth_model->authenticate($email, $password);        print_r($data);  }  "	Retrofit	0	1	0	0
I don't find enough documentations/tutorials for using Retrofit.   	"It is not a php page actually., it should be an api, normally plain php script that accepts request like POST/GET in JSON/XML format. Here is an example of api. function login_post(){           $email = $this->post('email');       $password = $this->post('password');              $data = $this->Auth_model->authenticate($email, $password);        print_r($data);  }  "	function	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"I found a bug that describes the problem you have in ,jira.spring.io/browse/SPR-9999, . It is from last year but perhaps it has not been fixed yet. It suggest to use a different factory so that another client implementation will be used (RestTemplate template = new RestTemplate(new HttpComponentsClientHttpRequestFactory());  "	RestTemplate	0	0	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"I found a bug that describes the problem you have in ,jira.spring.io/browse/SPR-9999, . It is from last year but perhaps it has not been fixed yet. It suggest to use a different factory so that another client implementation will be used (RestTemplate template = new RestTemplate(new HttpComponentsClientHttpRequestFactory());  "	(RestTemplate	0	0	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not used by it.  "	RestTemplate	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not used by it.  "	SimpleClientHttpConnectionFactory	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not used by it.  "	HttpComponentsClientHttpRequestFactory	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"Ivaylo, that's the case indeed, SimpleClientHttpConnectionFactory uses java.net implementation for HTTP requests, while HttpComponentsClientHttpRequestFactory uses Apache's HttpClient underneath  "	RestTemplate	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"Ivaylo, that's the case indeed, SimpleClientHttpConnectionFactory uses java.net implementation for HTTP requests, while HttpComponentsClientHttpRequestFactory uses Apache's HttpClient underneath  "	SimpleClientHttpConnectionFactory	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"Ivaylo, that's the case indeed, SimpleClientHttpConnectionFactory uses java.net implementation for HTTP requests, while HttpComponentsClientHttpRequestFactory uses Apache's HttpClient underneath  "	HttpComponentsClientHttpRequestFactory	0	1	0	0
"To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not used by it.   "	"Just a note : HttpStatusCodeException only gives u syntaxic sugar around HTTP status codes, but you have what you need in RestClientResponseException with ""getRawStatusCode()"" and ""getResponseBodyAsString()"".  "	HttpComponentsClientHttpRequestFactory	0	1	0	0
"To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not used by it.   "	"Just a note : HttpStatusCodeException only gives u syntaxic sugar around HTTP status codes, but you have what you need in RestClientResponseException with ""getRawStatusCode()"" and ""getResponseBodyAsString()"".  "	getRawStatusCode()	0	1	0	0
"To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not used by it.   "	"Just a note : HttpStatusCodeException only gives u syntaxic sugar around HTTP status codes, but you have what you need in RestClientResponseException with ""getRawStatusCode()"" and ""getResponseBodyAsString()"".  "	getResponseBodyAsString()	0	1	0	0
"Just a note : HttpStatusCodeException only gives u syntaxic sugar around HTTP status codes, but you have what you need in RestClientResponseException with ""getRawStatusCode()"" and ""getResponseBodyAsString()"".   "	"Thanks for your input and the elaborate answer :). I notice that you never actually throw the ,RestRuntimeException,, and it makes me wonder if it is better to use a simple POJO to hold the error data. My concern is that, at construction time, the Exception object gathers the stacktrace, which is unnecessary slowdown. You already have the same stacktrace in the ,BpmRestException  "	getRawStatusCode()	0	1	0	0
"Just a note : HttpStatusCodeException only gives u syntaxic sugar around HTTP status codes, but you have what you need in RestClientResponseException with ""getRawStatusCode()"" and ""getResponseBodyAsString()"".   "	"Thanks for your input and the elaborate answer :). I notice that you never actually throw the ,RestRuntimeException,, and it makes me wonder if it is better to use a simple POJO to hold the error data. My concern is that, at construction time, the Exception object gathers the stacktrace, which is unnecessary slowdown. You already have the same stacktrace in the ,BpmRestException  "	getResponseBodyAsString()	0	0	0	0
"Just a note : HttpStatusCodeException only gives u syntaxic sugar around HTTP status codes, but you have what you need in RestClientResponseException with ""getRawStatusCode()"" and ""getResponseBodyAsString()"".   "	"Thanks for your input and the elaborate answer :). I notice that you never actually throw the ,RestRuntimeException,, and it makes me wonder if it is better to use a simple POJO to hold the error data. My concern is that, at construction time, the Exception object gathers the stacktrace, which is unnecessary slowdown. You already have the same stacktrace in the ,BpmRestException  "	POJO	0	1	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"Actually this is just a complex pojo. It is confusing called, agree. Real exception is - BpmRestException  "	RestTemplate	0	0	0	0
"I tried this solution, but it seems not to work. The exception is actually thrown but the response stream contains no data. If I try the same request with POSTMAN the response body contains the body, so it seems again a RestTemplate problem.   "	"Actually this is just a complex pojo. It is confusing called, agree. Real exception is - BpmRestException  "	problem	0	0	0	0
NULL	Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.	LoopController	0	1	0	0
NULL	Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.	ThreadGroup	0	1	0	0
NULL	Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.	HashTree	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Good point on the additions to the HashTree. I was playing around with the JMeter API a little while back but I'm a bit rusty on the details of data structure passed into the JMeter Engine configure method :)	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Good point on the additions to the HashTree. I was playing around with the JMeter API a little while back but I'm a bit rusty on the details of data structure passed into the JMeter Engine configure method :)	ThreadGroup	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Good point on the additions to the HashTree. I was playing around with the JMeter API a little while back but I'm a bit rusty on the details of data structure passed into the JMeter Engine configure method :)	HashTree	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Good point on the additions to the HashTree. I was playing around with the JMeter API a little while back but I'm a bit rusty on the details of data structure passed into the JMeter Engine configure method :)	JMeter	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Hi.I am getting the following error. 2014-02-16 18:22:20.957 [jorphan.] (): strPathsOrJars[0] : null/lib/ext DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/workspace/mani/bin DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter.jar DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter_core.jar	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	Hi.I am getting the following error. 2014-02-16 18:22:20.957 [jorphan.] (): strPathsOrJars[0] : null/lib/ext DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/workspace/mani/bin DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter.jar DEBUG   2014-02-16 18:22:20.957 [jorphan.] (): Did not find: C:/Users/mvandrangi/Downloads/apache-jmeter-2.11/bin/ApacheJMeter_core.jar	ThreadGroup	0	0	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	To VishalPuliani I'm not sure if it is even possible or practical to use the standalone Java program for distributed testing.	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	To VishalPuliani I'm not sure if it is even possible or practical to use the standalone Java program for distributed testing.	ThreadGroup	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	To VishalPuliani I'm not sure if it is even possible or practical to use the standalone Java program for distributed testing.	HashTree	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"I copy-pasted this example to my maven project, in which I have dependencies for ApacheJMeter_core and ApacheJMeter_http. What happens to me is that the sampler is never called. I investigated why and it seems that the hash tree being cloned into the JMeterThread is cloned absent the LoopController. So at this part: ,Sampler e = this.threadGroupLoopController.next();                  while(true) {                     while(this.running && e != null) {, it does not execute the loop and the sampler is not called. What gives?  "	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"I copy-pasted this example to my maven project, in which I have dependencies for ApacheJMeter_core and ApacheJMeter_http. What happens to me is that the sampler is never called. I investigated why and it seems that the hash tree being cloned into the JMeterThread is cloned absent the LoopController. So at this part: ,Sampler e = this.threadGroupLoopController.next();                  while(true) {                     while(this.running && e != null) {, it does not execute the loop and the sampler is not called. What gives?  "	ThreadGroup	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"I copy-pasted this example to my maven project, in which I have dependencies for ApacheJMeter_core and ApacheJMeter_http. What happens to me is that the sampler is never called. I investigated why and it seems that the hash tree being cloned into the JMeterThread is cloned absent the LoopController. So at this part: ,Sampler e = this.threadGroupLoopController.next();                  while(true) {                     while(this.running && e != null) {, it does not execute the loop and the sampler is not called. What gives?  "	HashTree	0	0	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"Hi, what changes do i have to do when i want to run this as distributed testing?  "	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"Hi, what changes do i have to do when i want to run this as distributed testing?  "	ThreadGroup	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"Hi, what changes do i have to do when i want to run this as distributed testing?  "	HashTree	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"Has anyone managed to generate html results, from the csv or jtl file, using java api?  "	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"Has anyone managed to generate html results, from the csv or jtl file, using java api?  "	ThreadGroup	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	"Has anyone managed to generate html results, from the csv or jtl file, using java api?  "	HashTree	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	It is not possible to open simpleProject_generated.jmx file with JMeter GUI!? it faced with error.	LoopController	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	It is not possible to open simpleProject_generated.jmx file with JMeter GUI!? it faced with error.	HashTree	0	1	0	0
Thanks for the answer. This is exactly what I was looking for. Just one more thing. I think adding the LoopController to the ThreadGroup is enough. Adding it separately to the HashTree is not necessary.   	It is not possible to open simpleProject_generated.jmx file with JMeter GUI!? it faced with error.	simpleProject_generated.jmx	0	1	0	0
"Important: Google Translate API v2 is now available as a paid service. The courtesy limit for existing Translate API v2 projects created prior to August 24, 2011 will be reduced to zero on December 1, 2011. In addition, the number of requests your application can make per day will be limited.   "	The source code can be used freely. It does require an API key - so you will be billed by Google according to the usage.	GoogleTranslateAPIv2	0	1	0	0
"Important: Google Translate API v2 is now available as a paid service. The courtesy limit for existing Translate API v2 projects created prior to August 24, 2011 will be reduced to zero on December 1, 2011. In addition, the number of requests your application can make per day will be limited.   "	The source code can be used freely. It does require an API key - so you will be billed by Google according to the usage.	It	0	0	0	0
"All Sets pretty much have to implement some sort of way to quickly find duplicates, either by Comparable or hash codes, otherwise scanning for dups would be too painful.   "	Alternative idea: if the only reason for this is preventing bugs do a scan for nulls in your JUnit test suite to pick up any null leaks into the set.	idea	0	1	0	0
"All Sets pretty much have to implement some sort of way to quickly find duplicates, either by Comparable or hash codes, otherwise scanning for dups would be too painful.   "	Alternative idea: if the only reason for this is preventing bugs do a scan for nulls in your JUnit test suite to pick up any null leaks into the set.	nulls	0	1	0	0
You can also check if something is null as you pull it out of the set.   	"Sun? Updates to the collection framework are likely to be driven by Google. Btw, there should hopefully be a collections BOF a JavaOne.  "	set	0	0	0	0
You can also check if something is null as you pull it out of the set.   	"Sun? Updates to the collection framework are likely to be driven by Google. Btw, there should hopefully be a collections BOF a JavaOne.  "	Google	0	0	0	0
"All Sets pretty much have to implement some sort of way to quickly find duplicates, either by Comparable or hash codes, otherwise scanning for dups would be too painful.   "	"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever.  "	NoNullSet	0	1	0	0
"All Sets pretty much have to implement some sort of way to quickly find duplicates, either by Comparable or hash codes, otherwise scanning for dups would be too painful.   "	"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever.  "	HashSet	0	1	0	0
"All Sets pretty much have to implement some sort of way to quickly find duplicates, either by Comparable or hash codes, otherwise scanning for dups would be too painful.   "	"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever.  "	TreeSet	0	1	0	0
