string1   	string2	Entity	Performance	Usability	Security	Others	Sentiment
Your JSON is an array of CurrencyDTO, not just a CurrencyDTO   	The method forEach(Consumer <? super Rates>) in the type Iterable<Rates> is not applicable for the arguments ((<no type> key, <no type> value) -> {}), I am using forEach to store data in database via Currency entity class.  	forEach	0	0	0	0	o
MediaRecorder.OnInfoListener, seems to have ,MEDIA_RECORDER_INFO_MAX_FILESIZE_REACHED, error message, maybe it gave you means to show a Toast?   	I added code I have at the moment but the callback is not triggered when the file reaches its max size. Where I go wrong?	MediaRecorder.OnInfoListener	0	0	0	1	o
There is a ,post, on the SmartBear forum describing how to do it.   	I would create a empty project and use it's XML as a template, ignoring the SoapUI API for that task.  	There	0	0	0	0	o
I think the problem is the use of GetKeyboardState: from MSDN, sounds like it's essentially equivalent to calling GetKeyState, whereas you want the equivalent for GetAsyncKeyState, since another thread has current input focus. Perhaps try populating keystate manually with GetAsyncKeyState, or using AttachInput?   	My point is that ToUnicode should work out this shift information for you: but it needs accurate keyboard state information to work - it likely pulls the modifier information from that keyboard table, but since it's being fetched with GetKeyboardState, it does not necessarily reflect actual modifier state, which may be why it's returning unshifted characters. You might want to check if any of the keys corresponding to modifiers are pressed in the keystate array when you expect them to be.  	GetKeyboardState	0	1	0	0	o
To assylias +++ for support of Bloomberg BLPAPI (tested with 3.5.1.1), I'm Reuters and Bloomber user, local admin :-), I'll have to try your work   	Hi,Is there a way to Pass the Ticker to Bloomberg terminal from our app and show a Basic Price Chart (,GP,) for that ticker on Bloomberg terminal ?  	Reuters	0	0	0	0	o
	I tried it but gives: retrofit2.adapter.rxjava2.HttpException: HTTP 404	gives	0	0	0	1	o
Only slightly better than ,CreateUser,, ,GetUser,, ,UpdateUser, and borrowed from the hexagonal architecture: ,CreateUser[Request|Response],, ,GetUser[Request|Response],, ,UpdateUser[Request|Response],?   	Ooh, I like this. To Turing85  	CreateUser[Request|Response]	0	1	0	0	o
	GET call with a Json body,, doesn't sound really good. How about you use query to filter your data ?  	Json	0	0	0	1	o
can you post your Code?   	"I even tried placing the dlls in the System32 folder and still no luck. But my error message doesn't say anything about any particular dll but it says ""The specified module could not be found."". Wondering what is happening.  "	dlls	0	0	0	1	o
	Java or JavaScript? May you choose one?	JavaScript	0	0	0	1	o
	"The usage of SqlJet is mandatory in the project, I can't use the standard interface.  I need to pass this query via SQLjet. I was wondering if ""there is an API to work"" means that THEY provide an API for the lower-level or they mean ""use the standard interface"".  "	SqlJet	0	0	0	0	o
You should be using Spring Security OAuth2. It is very bad practice to send credentials in a GET request like this; they should be in the ,Authorization, header so they aren't logged or cached. Spring Security will take care of decoding the token for you (once you provide the key), and then you can use the regular ,To PreAuthorize, and similar to add access rules.   	To chrylis Well the flutter application's part is not in my control. They simply said that the token will be the only thing that is to be sent to the api as a request and after that the api should resolve that and use that to get the required data. Thank You for the answer.	Authorization	0	1	0	0	o
	No, mathematics says it is 0, or probably something like 0.00000000000001  	0	0	0	0	1	o
html, css, and mysql aren't programming languages.   	It is true about HTML and CSS.  How do you know the widget based web design tool is generating good HTML and CSS unless you know what that looks like?  You have to know HTML and CSS yourself.	css	0	0	0	1	o
This doesn't seem very Jetty specific.  I would say this is either Servlet or JAX-RS specific.   	To stdunbar I am not experienced enough to know. What code snippet do you need from me, if you were to analyze if I need help with JAX-RS or servlet API?  	JAX-RS	0	0	0	0	o
Sounds like you want NewRelic or Splunk, both of which can monitor application logs for errors and page engineers when things are going south.   	I want this to be in the code. This is an automatic switch from regular mode, to HA mode. I am already using splunk for monitoring  	Splunk	0	1	0	0	o
To Ross: Open Sound Control looks very interesting. It will get a good chunk of my time today. But it doesn't necessarily replace MIDI as much as stand in for it, at least the way I read the home page. There must be a technological leap away from MIDI, doesn't there? If we can't access synthesizers through MIDI or OSC, what do we do? That is the question I'm trying to ask. What if we have to do real interactivity with DSP? Or some other hardware? I don't know hardware... I only know a bit of MIDI and c++.   	To devdon, I see no evidence that there is decreasing support.  Care to cite some sources?  Also, MIDI is digital...  	Sound	0	1	0	0	n
Thank you for your guidance. I have added the required jar files manually. Now the application is deployed on tomcat.   	To sandy  If the answer was useful, please consider upvoting and accepting it.  	upvoting	0	0	0	1	o
	If you are using transfer managers, this solution also works. Simply replace ,s3Client.putObject(, with ,TransferManager.upload(  	s3Client.putObject(	0	1	0	0	p
	"Add the parameters to ,url,, e.g., ,url += ""?"" + code=001&name=AAA"",.  This is somewhat ugly, so there are probably (hopefully) more elegant ways to build the string used in ,HttpGet,.  Those parameters should also be properly encoded.  "	url	0	1	0	1	o
	Depending of your stack and actual need, you could maybe use Jackson annotations ,To JsonAnyGetter, and To JsonAnySetter. Chech this ,thread, to see an example with Spring and MongoDB.  	JsonAnyGetter	0	0	0	1	o
thank for your thought.  The amazon way was one of my option. Yes, we want to unify the back-end. The API would become the unique entry-point to the business logic. That's the plan.   	A timing attack is more of an implementation detail then a protocol problem.  I think you original point is that the basic problem which OAuth solves is not suitable for financial data.  To that I would say constrained delegation is absolutely applicable for medical data, and exactly what every patient wants.  	plan	0	0	0	0	o
Not sure I understand your point about URLConnection. Since your original question was about the Policy class, I think it would be best to ask another question regarding ,defaultUseCaches,.   	Yes makes sense. I will consider to raise another question.	defaultUseCaches	0	0	0	1	o
"Yes, that's true. I guess that depending on what is the ratio of methods to be kept / methods to be rejected, one of the solutions might look ""cleaner"" than the other one. e.g. if you only want to forbid 2-3 methods out of 20, then A probably looks cleaner. If you only want to keep 2-3 methods out of 20, then B looks cleaner. But everything else being equal I also tend to prefer B over A.   "	"IDEs often have a ""Delegate"" menu command that will write the forwarding methods in one batch.  "	B	0	1	0	0	o
	There is no mandate. Design by contract exists for a reason. And don't spam tags.	tags	0	0	0	1	o
There is a ,post, on the SmartBear forum describing how to do it.   	I would create a empty project and use it's XML as a template, ignoring the SoapUI API for that task.  	XML	0	0	0	0	o
I have lucene-3.4.0 2/lucene-core-3.4.0.jar  and I can see the class PorterStemmer.class in this package   	"In error it does not say that the ""class cannot be resolved"" It says ""import org.apache.lucene.analysis.PorterStemmer is not visible ""  "	PorterStemmer.class	0	0	0	1	o
How are calling at once - ,But when I call them at the same time, historySent and historyReceived return the same response   	Please add the code for the ,HistoryRepository, and ,genericService.getUserIdFromToken,. At least one of these is keeping state leading to the wrong results.  	HistoryRepository	0	0	0	1	o
Wow - that was detailed! I will need to go over this time and again to fully understand everything. One point though - the real agenda was indeed to make the API suitable for different cultures. I might have wrongly clubbed the terms I18n and L10n - but you get the idea.   	dojotoolkit.org/documentation/tutorials/1.6/i18n,  All resource bundles for a particuilar locale used on a page can be combined into a single file, or a single HTTP hit to retrieve them, similar to how the tool concatenates Javascript and CSS.  From that point, you're just accessing properties on an object in the browser.    The build tools were replaced with AMD-aware build tools in v1.7+ which will achieve similar results.  	L10n	0	1	0	0	o
There is also ,getFirst(), and ,getLast(), in the ,Deque, interface   	To Sigmax This answer answers the question that was actually asked, using  the same definitions that the OP used. I do not see the point of stating that he asked the wrong question, or of criticizing answers that answer it.  	getFirst()	0	0	0	1	o
what is the context root of your application?   	"use To Path(""/myresource"") instead of To Path(""myresource"")  "	Path(/myresource)	0	1	0	1	o
The message clearly says the you are not logged in. You have to first Login to Spliwise account and then may be based on some authorization token, you will be able to query the API. Once Token validity over, you will have to login again. Please check their website and required parameter for making the request. Check their API as well - ,github.com/sritejakv/splitwise-java   	thanks for the response. i've gone through the documentation then splitwise is asking to register my app for oath authorization but i don't have any app to register just my goal is automating splitwise expenses using REST API calls.	REST	0	0	1	0	o
possible duplicate of ,RequestMapping in xml, -- note that the ,Spring JIRA ticket, referenced is still in the backlog...   	Have you looked at Spring Data REST?	RequestMapping	0	0	0	1	o
I'm porting a forward error correcting codec from C to Java.  The original programmer used memset and memmove to manipulate the data in vector calculations.   	It's doubtful I would have searched the System class for an array manipulation method.  Thanks very much!	memset	0	1	0	0	o
Many good questions generate some degree of opinion based on expert experience, but answers to this question will tend to be almost entirely based on opinions, rather than facts, references, or specific expertise., ,If the question has the term ,best, in it, it is most likely way off topic   	Could you please provide an example of JPA annotation that can be used in RESTful API client?	best	0	0	0	1	o
It's not a problem on your side. You are connecting to a server, and both you and the server have a certificate. This is mutual SSL authentication. The server must follow some rules and one of them is that the domain name must be specified a the subject or SAN. If you check the stackoverflow certificate in your browser (the green lock) you will see that it was issued to *.stackexchange.com (not the domain you are connecting to), but one of the SANS is *.stackoverflow.com (which is the right domain). This allows us to use the same certificate in more than one endpoint.   	I see what you are saying. I will request from them that they fix the cert that they provided us and include the SAN. How do you ignore this error? Do I explicitly need to do it?	server	0	1	0	0	o
There is no definite answer but the header is not intended to be the response. It's meta data. You can always return a custom ,Response, object that contains all the fileds you like, it can act like a container for everything like ,stackoverflow.com/questions/12806386NULL	Thanks; that is exactly what I was looking for. I wish I had known this a year ago.	data	0	0	0	0	o
html, css, and mysql aren't programming languages.   	It doesn't matter.  The OP isn't claiming they are programming languages, just languages.  So you can quit your splitting hairs and focus on the question.  	css	0	0	0	1	o
	What have you tried so far?  What didn't work about it?  The OWL-API is pretty well documented, and the documentation contains lots of examples.  It's not too hard to retrieve the subclasses of a class, check whether they're restrictions, and pull out the parts of the restriction if they are.  	it	0	0	0	1	o
Read this blog post, on the NetworkOnMainThreadException for more information. It explains why this occurs on Android 3.0 and above.   	you should not use an AsyncTask for long running operations! Guidelines specify 2 to 3 seconds max.	3	0	0	0	1	p
I'm guessing that you want to send an OS message that tells a window that a mouse click occurred, and if so, this would require code that makes OS calls, something that Java is very poor at doing (by design).   	If making bots using Python it's worth checking out the pyclick library, as it creates human like mouse movements and adds some variation to the angles the mouse moves in, and is emulating human like curves when moving from one point to another.  	Python	0	1	0	0	o
	You really want a 2D array?	array	0	0	0	1	o
Could you post what it returns?   	simply try a URL first, from a console java app and proceed from there.  	first	0	0	0	0	o
	Instead of a recycler view, you can use a tab layout with dynamic custome tab items. for this kind of UI  	custome	0	1	0	0	o
Class names should be uppercase in Java.   	I really tried everything and it still doesn''t work.	uppercase	0	0	0	1	o
May i ask you how can i then import that to my source ? what to use what command , where to put it ? please help me to fix this.. i think i should used gson instead of volley,but i am now too far away to switch to gson..can you explain me on instance how to put these values into map ?   	I really don't get what i need to put instead of <String,Object> Also i don't get why i don't have that method ObjectMapper, Where i need to put code , in onResponse in MainActivity or where?   Can you add me on gmail cikatunaTo gmail.com or skype: drvenapila and try to teach me this, i am willing to pay you for your time.  	gson	0	0	0	0	o
How is the question related to programming?   	Just as an aside, a REST delivery mechanism might get you ease-of-use, but that depends on your method/function design. REST has no bearing on scalability or security.  	scalability	0	1	0	1	o
	please check https: security.. because almost all the smtp server using ssl protocol	security	0	1	0	1	o
	maybe you should use  for example sigleton to prevent making connection each time you call this function. And for sure you should read something about OOP.	sigleton	0	1	0	1	o
Thanks champ! Guys if you came to this question looking for help, you should definitely check out Sunil's book   ,amazon.com/Developing-RESTful-Web-Services-Jersey/dp/1783288299   	Thanks this makes sense. So I've imported JSONObject into the project , but the application crashes and I: ` java.lang.ClassNotFoundException: org.json.JSONObject` does the ,/Users/USERNAME/.m2/repository/org/json/json/20160212/json-20160212.jar, jar has to be in a specific location for Jersey to find it?  	sense	0	0	0	0	o
Are you tying to do To PreAuthorize on the RequestMapping not on Repository right ?   	Done, above. Kind regards  	above	0	0	0	1	o
	Could you clarify why do you need PreviewView for image analysis? Image analysis is usually done with the ImageAnalysis API.	PreviewView	0	0	0	1	o
	"RestAdapter restAdapter = new RestAdapter.Builder().setEndpoint("",192.168.101.55/test"").build(),;, should work right? it's for (version 1.5.0) right?  "	RestAdapter.Builder().setEndpoint(192.168.101.55/test).build()	0	0	0	1	o
I got it working. Thank you ! I see the whole page in the WebView now, I will have a look at JSOUP too. Appreciated   	"You are right. it helped with the Googling. I put it into a WebView and it is working now. This is part of the code 'webView.loadDataWithBaseURL(null, result, ""text/html"", ""UTF-8"", null);' Thank you kindly !!  "	JSOUP	0	0	0	0	p
can you say what ,exactly, is not working, it isn't clear   	"I tried adding this to To GetMapping and the same issue happens with it. Also just tried To RequestMapping(""/api"") undereath myTo Controller annotation and didn't work either.  "	To	0	1	0	1	o
what does ,terrain.prepareForShadows();, and ,terrain.recoverFromShadows, do? it looks like your terrain shouldn't cast shadows at all, so don't render them to the shadowLight.   	I added the code that creates the batched mesh. I'm sorry I don't really know what is relevant here as i feel so out of my comfort zone when it comes to 3d. Heres my previous question about batching all the cubes that may have some relevant information : ,stackoverflow.com/questions/24724359   	terrain.prepareForShadows()	0	0	0	1	o
Your API should be hosted on a server that is always running you cannot host it on Github (Github just hosts the code). From there, you will be able to make calls to the API from any other machine, including the same one. The node.js app is the server in this case.  Next you can create a client app/script to interact with the server. First you need to create an express route that allows your API to send the data you would like to send to the client. Next you If you want to use python to make the calls look into this tutorial: ,realpython.com/python-requests   	To BrandonHoffmann By the looks of it, yes! A quick search on PyPI turns up an old but popular open-source package called ,wikipedia, that allows you to interact with Wikipedia's APIs natively in Python. The description specifically mentions retrieving all the images from an article.  	PyPI	0	1	0	0	o
"Restating the question, you can send tests to the mobile API using Cucumber-jvm and Robotium and you can send tests to the server API using Jmeter. Right so far?  You sending canned JSON to the server would not constitute an ""integrated test"". For an integrated test you would need to simulate some user action on the mobile device that in turn triggered an exchange with the server.   "	To MikeJRamsey56  I would simulate the user action with Robotium on the mobile device in the Then step. Checking if what I've sent to the server is reflecting on the UI. My question is how could be the approach for this integration test ?   Should I call the jmeter requests inside the steps of my mobile automation ? Should I send all the json requests before the mobile automation and check the UI after ? Should I create a helper to send the json requests inside the Given step and check the UI in the Then step?	Robotium	0	0	0	0	o
	API stands for ,a,pplication ,p,rogramming ,i,nterface, here is a good description: ,Wikipedia,. In general API is code that is used by other programmers to, for example, create a final product. It is kind of an utility tool. For example an API for mailing offers easy to use methods to setup and send mails, without having the full knowledge of mail protocols. So you could view the whole Java standard library as API, I would see ,library, as good synonym there.  	API	0	1	0	1	o
Use the api-client and oauth-client jars from ,here, and use the big-query service jars from ,here,. These seem to the latest stable versions. In case you get compilation errors just try to fix them as per the new jars. Make sure there is no duplicate jar in your app's library   	looks like a minor compilation problem. Check the latest java doc ,here  	api-client	0	1	0	0	o
	fetchConnection will return a list of Objects. fetchObject will return one Object.	fetchObject	0	0	0	1	o
There is no way a bunch of random people on SO can tell you how your application should behave in the event of an error!   	Either one works, and either one needs error checking - if you return booleans, just have to check the result before calling the next one. For me returning instances (which may trigger a NPE) is easier to use.  	NPE)	0	1	0	0	p
That data and other sensitive information would be collected by Stripe during the onboarding via Account Links: ,stripe.com/docs/connect/connect-onboarding, It's not something that you can pass to the Accounts API.   	To PaulAsjes thanks brother, Are you putting the answer or I am for future stripe users.  	Account	0	0	0	0	o
	Does this answer your question? ,How to percent encode in Java?  	encode	0	0	0	1	o
	"Where are you looking because I see: ""public ArrayList(Collection<? extends E> c)""  "	E>	0	0	0	1	o
The best would be to not reinvent your security framework. Which to use depends on what you want to secure, if you want to secure services there is no ,HandlerInterceptor, that will help you. AspectJ is also applied using proxies when using Spring unless you configure compile timeweaving. However as mentioned don't try to reinvent a security framework there are plenty out there use those instead. Generally they do more then just role/group based access.   	I'm biased towards Spring Security as it integrates reallly nice, but Apache Shiro also has Spring integration.  	Apache	0	1	0	0	o
Try to change ,To Field, to ,To Query   	Okay, that's weird, on postman the endpoint is register/ or register ?  	register/	0	0	0	1	o
	"The string ,闂佽偐鍘ч崐鍧楀煘閹扮増鈷? (,0xEFBFBD,) is UTF-8 for ,0xFFFD, or the ""replacement character"" used when an invalid code is detected.  SOMETHING is treating the incoming data as being UTF-8 encoded, but it's not obvious (to me) where this is happening.  Any chance the API is broken?  "	闂佽偐鍘ч崐鍧楀煘閹扮増鈷?	0	0	0	1	o
"Are you literally trying to execute that code? Do you understand anything of what it's doing? For the record, it tries to access the mail server of gmail with ""userTo gmail.com"" as the user, and ""password"" as the password. I doubt that userTo gmail.com is your real gmail address. And even if it is, I doubt your password is ""password"". If it is, you'd better change it now.   "	Thanks it did, I was also also able to get an attachment working as well, the only thing I'm left with is receiving the results after my jar file gets executed, do you possibly know if jar files has some sort of java methods for that?  	password	0	1	0	0	o
	what language you want this in? PHP, Ruby, etc..  	etc	0	0	0	1	o
Thanks for your reply, but it would be my next step. Now I just want to open and close the serial communication with the local XBee. And as I said it works properly with API 1. When I change it to API 2, I get the error.   	Baud rate is 9600 in the code and in the XBee. I reset the XBee and changed from API 1 to API 2. Still not working.	API	0	1	0	0	o
were you able to solve it?   	Yes. This helped me..Thanks	This	0	0	0	1	o
thank you for your quick response. I was using another lib and I used the one you provided and it worked for me :)   	To bert My go-to simplest demo, client-side-only, is ,wheresgus.com/signindemo,. Note: Google+ Sign-In works on top of OAuth 2.0 so if you're more comfortable with that, you can still authorize clients using OAuth.  	wheresgus.com/signindemo	0	1	0	0	o
Well I am currently working on Automation using Selenium Webdriver and Junit 4...career wise which one would you suggest would be beneficial in the long run?? I know both these sound quiet different but even I thought related to APIs development process once the APIs there wont be much work to do...so presuming moderate complexity and in context of the example I gave would you think the code would freeze in 5-6 months?   	Humm thanks for your comments the links you provided look quiet helpful...one last question how would you look at developing REST APIs as a development skill? does it hold good future? : )	Junit	0	1	0	0	o
	"...you make it sound like they have to be mutually exclusive... when, as a simple counter-example, a WSDL/SOAP generator may take a ""web-service"" and generate an ""API end-point"" for it (a wrapper around said web-service to access exposed operations).  "	web-service	0	0	0	1	o
Here, is a working example, you can compare your version with that.   	So the code you are invoking is a kind of client and the error is coming on server side. Please correct me if i am wrong	that	0	0	0	1	o
You should search a bit more. There are several jMTP forks. E.g. ,github.com/reindahl/jmtp, which contains a file named ,jmtp64.dll,. Therefore I assume that 64bit is supported.   	so i have to switch again my JVM to 64bit ? please give me more details how can i add this library github.com/reindahl/jmtp i found a lot of classes i'm gonna use.Thanks	jmtp64.dll	0	1	0	0	o
"here what i got Array ( ) {""OKCode"":0,""message"":""Required field(s) is missing""}   "	So this means nothing seems to be getting posted. Looking at your postman screenshot that's strange. What's in ,print_r($_GET),? Note you can also make your app use both GET and POST at the same time with ,$_REQUEST  	POST	0	1	0	1	o
Maybe the other link is not returning data, debug your code and check if response actually has data   	Sorry. I use the same code for the two activities with just the API URL changing. It only pulls data from one API URL. If I use the exact URL for both activities it will work fine. If I switch it, it only pulls from one URL and otber activity is blank. Wish i could share screen  	It	0	0	0	0	o
	html, css, and mysql aren't programming languages.  	mysql	0	0	0	1	o
Linking the two classes would probably result in bad design. When a new invoice is being created, why don't you query the ,clientService, to check if the client exists? It's the ,clientService, responsibility to have information about the clients and it's not a responsibility of the ,invoiceService,, so implementing such check inside the ,invoiceService, class wouldn't be preferable.   	I believe having createInvoice in the client class would pose the same problem, I'm not sure but just making the clientmap static in the clientServiece and just accessing it directly would do the trick so just make the map static and then just access it using clientServiece.clientMap from within the invoiceServiece class  	createInvoice	0	1	0	1	o
There is also ,getFirst(), and ,getLast(), in the ,Deque, interface   	"I'm sorry that this is confusing for you, but in the java api doc, the terms ""head"" and ""tail"" are used numerous times, so I guess for this context these are the right terms.  "	getLast()	0	1	0	0	o
There is no definite answer but the header is not intended to be the response. It's meta data. You can always return a custom ,Response, object that contains all the fileds you like, it can act like a container for everything like ,stackoverflow.com/questions/12806386NULL	Thanks; that is exactly what I was looking for. I wish I had known this a year ago.	You	0	0	0	0	o
"You waited a month to reply lol, must not be too big of a priority. You only have one line of code that has date pulled. ava.lang.NullPointerException: Attempt to invoke virtual method 'long java.util.Date.getTime()' that could cause this error. Please supply your updated code showing that you did my suggestion and then supply your updated error. If you put it in a try/catch block then it is not possible to crash as the ""catch"" would catch it, unless you are crashing in other class that you did not share. So update your question if it is a priority for you and i'm happy to help   "	ok, i will check now.  	lol	0	0	0	1	o
Do i have to download source to use this?   	How can i implement Gson to my current code? Do i need to convert the HttpEntity to Gson? Convert string to Gson? Or Gson have something to get data from my url?	HttpEntity	0	1	0	0	o
	Works perfect! Thanks! The ,this$0, was pretty clever.  	The	0	0	0	0	p
	Depending of your stack and actual need, you could maybe use Jackson annotations ,To JsonAnyGetter, and To JsonAnySetter. Chech this ,thread, to see an example with Spring and MongoDB.  	Spring	0	0	0	1	o
	REST and SOAP have strong differences, REST only 'basic' updates on objects, SOAP can execute methods (f.e. business methods etc)  	SOAP	0	0	0	1	o
My doubt is how to call it from postman ? Should i use this Json in the body of the request ?   	Yes, you need to put json in the 'Body' sector. In the 'Headers' sector you should put Key -> Content-Type and Value -> application/json  	Key	0	0	0	0	o
Will it have state?   	Both Abstract Class and Interface are used to enforce some sort of contract. What is that you want all implementations to have?	Interface	0	1	0	1	o
	I've written a java library that follows the full OAuth 1, you'll just have to provide the request token URL and authorization URL for LinkedIn and you'll be good to go. :) ,JOAuth  	URL	0	0	0	1	o
Java is quite poor when it comes to monitoring activity in ,other apps,. You'd need some native OS-level support for that.   	To Thilo Java is designed not grab data from other applications in ways which would be useful for hackers. ;)	Thilo	0	1	0	0	o
To what do you want to parse the wikitext? Or: How do you want to customize the HTML?   	Less conversion passes, the better.  	HTML	0	0	0	1	o
But it also states: This method should only be used for server-to-server calls. You should never share your client secret with anyone or include it in client-side browser code   	I am assuming that your Java application is a server side application	This	0	0	0	1	o
Is it a requirement to use this library for sending request to server? If not, consider using Retrofit and Okhttp which are the standard set of tools for networking in Android.   	Reza  Thanks a lot :)	Retrofit	0	1	0	0	o
sorry that was a typo. The request body is actually ,Garage<Car>,. But I did ,public class Garage<T> implements Serializable, and that didn't work. Still get the same error.   	Add Get and Setter in your Class and constructor	Setter	0	0	0	1	o
Does this answer your question? ,Why Does OAuth v2 Have Both Access and Refresh Tokens?   	To NikolaiShevchenko Thanks for the reference. That's what I said, the refresh token should be the same, but every time I ask Spotify for a refresh token with the same account it gives me a new refresh token. I'm doing something wrong I know...  	Tokens	0	0	0	0	o
what have you tried?  do you have any code?  How are we supposed to know whats going on when you've given us nothing but an error code?   	Thank you. I am using Amazon Product Advertising API. Since its a service owned by Amazon they do not allow continuous access of the service. I mean it works when I give sleep time of two seconds, but I was thinking is there another way so that I don't have to wait 2 seconds after each API call? To make the connection I am using URLConnection. I have added the code.  	Amazon	0	1	0	0	o
what language you want this in? PHP, Ruby, etc..   	Can you provide some example or link of your solution ?	Ruby	0	0	0	1	o
Please show the code of PropertiesLoader   	WHy? Spring boot already loads that file why load it again yourself to expose properties. Ditch your ,PropertiesLoader, and just use ,To Value, or the ,Environment, to get the properties.  	PropertiesLoader	0	0	0	1	o
"which lib are you using? That example you have given - that ,{""status"":0}, - is a valid JSON string.   "	"Actually problem was not because of value. both of ,getInt, and ,getString, works fine for ,""{\""status\"":0}"",. My problem was changing ,""{""status"":0}"", to ,""{\""status\"":0}""), correctly.  "	{status0}	0	1	0	0	o
"I'm not sure what you want to be ""automatically"" handled by the middleware, I think you need to explain a bit more what you're trying to achieve.   "	To Anil - you keep saying that and i don't undestand why.  you can change the return value from getMethod() in your wrapper.	middleware	0	1	0	0	o
	Could you please let me k ow how can i use To RequestParam..?	RequestParam	0	1	0	1	o
That example is wrong. Java does not have output parameters.   	Object creation is cheap and should ,not, be the reason to clutter your code with constructs that have no further purpose than to reduce the number of created objects.  	wrong	0	0	0	1	o
	Not familiar with this API, but can you skip the middleman ,JsonObject,? e.g. ,Response.Listener<AirPollution>  	e.g	0	0	0	1	o
	Hi Swayam. Thanks for the reply. I think setDefaultTimeout(-1) means infinite.	setDefaultTimeout(-1)	0	0	0	0	p
	Sounds like ,userNote, should not be in ,Finding,.  	Finding	0	0	0	1	o
+1 for using a new type CustomerQuery instead of Customer   	i vote for CustomerSearch idea that is the most extensible one.	CustomerQuery	0	0	0	1	o
The Pusher Java Client doesn't auto-reconnect. You can see an example of doing auto-reconnect here: ,github.com/pusher/pusher-android-example/blob/master/src/com , However, this won't ensure that you connection. Also, why did the connection fail? The ,onError, callback may provide additional information. See ,github.com/pusher/pusher-android-example/blob/master/src/comNULL	To leggetter I am sorry, but I think you misunderstood what I was trying to say. My problem is that program does not do anything, it just goes through and terminates it. I read your examples but since I am new to pusher, I couldn't make it work. Could you please help me write code for simple program that will just read data using following parameters:   CHANNEL: order_book, EVENT: data, PUSHER KEY: de504dc5763aeef9ff52  Thanks for response, I am really looking forward to your answer :)  	here	0	0	0	0	o
There闂備胶鍋ㄩ崕鏌ユ偘?an ,and, method on ,Predicate,s that return a new, combined one. You can just build the one you use in the filter by combining them (dynamically) into a single one first. ,docs.oracle.com/javase/8/docs/api/java/util/functionNULL	You mean like ,Predicate#and, and ,Predicate#or, (which are both valid, static methods)?  	Predicate#or	0	1	0	1	o
	Thanks a lot! Works like a charm! Is there any way I could identify the class label of the test instance?	lot	0	0	0	1	o
Can I just check, what is your target SDK Version?   	"You might not have seen my comment above yet. I solved the problem putting To SuppressLint(""NewApi"") in front of my class or method declaration. Thanks anyway!  "	To	0	0	0	1	o
