ManualLabel	Text	codes
o	"""As you can see, the result of encrypting P1, P2 and P3 (in that order) is different from encrypting P2, P1 and P3 (in that order)."""	"[""'Security'""]"
o	"""So, in a CBC implementation, order is important."""	"[""'Usability'""]"
n	"""Any algorithm where order is important can not, by definition, be thread safe."""	"[""'Performance'""]"
o	"""You can make a Singleton factory that delivers encryption objects, but you cant trust them to be thread safe."""	"[""'Security'""]"
o	"""You can make a Singleton factory that delivers encryption objects, but you cant trust them to be thread safe."""	"[""'Performance'""]"
p	"""Yes, Tnilsson, your reasoning is right."""	"[""'Others'""]"
o	"""I found the following post, URL_http://www.bouncycastle.org/devmailarchive/msg04715.html from bouncy castle's mailing list."""	"[""'Others'""]"
n	"""It's not completely thread safe (atleast AES engine)."""	"[""'Performance'""]"
n	"""The J2ME version is not thread safe."""	"[""'Performance'""]"
o	"""Java 256-bit AES Password-Based Encryption."""	"[""'Security'""]"
o	"""I need to implement 256 bit AES encryption, but all the examples I have found online use a ""KeyGenerator"" to generate a 256 bit key, but I would like to use my own passkey."""	"[""'Usability'""]"
o	"""How can I create my own key?"""	"[""'Others'""]"
n	"""I have tried padding it out to 256 bits, but then I get an error saying that the key is too long."""	"[""'Others'""]"
n	"""I do have the unlimited jurisdiction patch installed, so thats not the problem :) Ie."""	"[""'Others'""]"
o	"""The KeyGenerator looks like this ... CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""URL_http://java.sun.com/developer/technicalArticles/Security/AES/AES%5Fv1.html [Code-taken-from-here] I was actually padding the password out to 256 bytes, not bits, which is too long."""	"[""'Others'""]"
p	"""The following is some code I am using now that I have some more experience with this."""	"[""'Usability'""]"
o	"""CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
o	"""The ""TODO"" bits you need to do yourself :-) ."""	"[""'Usability'""]"
o	"""Could you clarify: does calling kgen.init(256) work?"""	"[""'Others'""]"
o	"""Yes, but this automatically generates a key ... but since I want to encrypt data between two places, I need to know the key beforehand, so I need to specify one instead of ""generate"" one."""	"[""'Security'""]"
p	"""I can specify a 16bit one which works for 128bit encryption which works."""	"[""'Usability'""]"
n	"""I have tried a 32bit one for 256bit encryption, but it did not work as expected."""	"[""'Security'""]"
o	"""If I understand correctly, you are trying to use a pre-arranged, 256-bit key, specified, for example, as an array of bytes."""	"[""'Others'""]"
p	"""If so, DarkSquid's approach using SecretKeySpec should work."""	"[""'Usability'""]"
o	"""It's also possible to derive an AES key from a password; if that's what you are after, please let me know, and I'll show you the correct way to to do it; simply hashing a password isn't the best practice."""	"[""'Usability'""]"
o	"""Be careful about padding a number, you may be making your AES less secure."""	"[""'Security'""]"
o	"""@erickson: that is exatly what i need to do (derive an AES key from a password)."""	"[""'Others'""]"
n	"""@Nippysaurus: Any luck?"""	"[""'Others'""]"
o	"""Please comment on my answer if you still have problems it doesn't address."""	"[""'Others'""]"
o	"""@erickson: Nope."""	"[""'Others'""]"
o	"""I got both .NET and Java to compile something in what I thought was 256bit, but the results were different."""	"[""'Others'""]"
o	"""I might not need to do the Java side after all."""	"[""'Others'""]"
o	"""As a last resort we will probably use bouncycastle :)."""	"[""'Usability'""]"
o	"""@Nippysaurus Were you able to get this to work?"""	"[""'Usability'""]"
o	"""If so, would you mind posting the complete solution including the code from AES_v1.html?"""	"[""'Others'""]"
n	"""Sorry this was more than two years ago and I havent done any Java since."""	"[""'Others'""]"
o	"""Share the CODETERM1 (a CODETERM2 ) and CODETERM3 (a CODETERM4 8 bytes selected by a CODETERM5 makes a good saltwhich doesn't need to be kept secret) with the recipient out-of-band."""	"[""'Security'""]"
o	"""Then to derive a good key from this information (in Java 6): CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""Now send the CODETERM6 and the CODETERM7 to the recipient."""	"[""'Others'""]"
o	"""The recipient generates a CODETERM8 in exactly the same way, using the same salt and password."""	"[""'Usability'""]"
o	"""Then initialize the cipher with the key _and_ the initialization vector."""	"[""'Others'""]"
o	"""CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
n	""" A CODETERM9 with the message ""IlOthers key size or default parameters"" means that the cryptography strength _is_ limited; the unlimited strength jurisdiction policy files are not in the correct location."""	"[""'Security'""]"
o	"""In a JDK, they should be placed under CODETERM10 Based on the problem description, it sounds like the policy files are not correctly installed."""	"[""'Usability'""]"
o	"""Systems can easily have multiple Java runtimes; double- check to make sure that the correct location is being used."""	"[""'Usability'""]"
o	"""Argh."""	"[""'Others'""]"
o	"""Salts are not necessary for symmetric encryption."""	"[""'Security'""]"
o	"""IVs serve a similar purpose, and are prepended to the ciphertext by most (all?"""	"[""'Others'""]"
o	""") crypto libraries."""	"[""'Others'""]"
o	"""@Nick: Read PKCS """	"[""'Others'""]"
o	"""Salts are necessary for PBKDF2, which is why the API for password-based encryption requires them as input for key derivation."""	"[""'Security'""]"
o	"""Without salts, a dictionary attack could be used, enabling a pre-computed list of the most likely symmetric encryption keys."""	"[""'Security'""]"
p	"""Cipher IVs and key-derivation salts serve different purposes."""	"[""'Others'""]"
o	"""IVs allow one reuse the same key for multiple messages."""	"[""'Others'""]"
p	"""Salts prevent dictionary attacks on the key."""	"[""'Security'""]"
o	"""Does this usage of SecureKey and PBEKeySpec produce a Password-based key that is RFC2898-compliant?"""	"[""'Others'""]"
o	"""URL_http://www.ietf.org/rfc/rfc2898.txt ."""	"[""'Others'""]"
o	"""Yes, that is the ""PBKDF2"" of the SecretKeyFactory algorithm name."""	"[""'Others'""]"
o	"""It is referring to PKCS PBKDF2 (Password-Based Key Derivation Function """	"[""'Others'""]"
o	"""If you were storing encrypted data in a database using the method above, would you store the ciphertext (blob) and the iv (char) in the database, and the password and salts would be supplied to the client application by the user or in the application's configuration files?"""	"[""'Others'""]"
o	"""In that case, I'd store the ciphertext in one field, the IV in another, and the ""salt"" and ""iterations"" together in a third."""	"[""'Others'""]"
o	"""I'd prompt the user in the client application for the password, and derive the key using the stored salt and iterations."""	"[""'Others'""]"
o	"""Then initialize the cipher with the derived key and stored IV, and decrypt the content."""	"[""'Others'""]"
o	"""@erickson: in case you store iv, salt, etc."""	"[""'Others'""]"
o	"""in the database, why not just use 'PBEWithMD5AndDES' and append the salt to the encrypted text, after loading u can strip the salt and use it for decryption."""	"[""'Security'""]"
o	"""This way PBE is implemented in jasypt framework: URL_www.jasypt.org."""	"[""'Others'""]"
o	"""First, that would be DES encryption, not AES."""	"[""'Security'""]"
n	"""Most providers don't have good support for the PBEwithand algorithms; for example, the SunJCE doesn't provide and PBE for AES."""	"[""'Usability'""]"
n	"""Second, enabling jasypt is a non-goal."""	"[""'Usability'""]"
n	"""A package that purports to offer security without requiring an understanding of the underlying principles seems dangerous prima facie."""	"[""'Security'""]"
o	"""@erickson so the lack of support is the only criteria not to use 'PBEWithMD5AndDES'?"""	"[""'Usability'""]"
o	"""Are there any further criterias not to use this algo for enryption of data stored in a db?"""	"[""'Security'""]"
n	"""Although MD5 is ""broken"" in some applications, I don't think that it is a problem here."""	"[""'Others'""]"
n	"""But the weakness of DES is definitely a problem."""	"[""'Others'""]"
n	"""The tiny key of DES can be broken in hours or days using a few thousand dollars worth of equipment."""	"[""'Others'""]"
o	"""I've implemented @erickson's answer as a class: URL_https://github.com/mrclay/jSecureEdit/tree/master/src/org/mrclay/crypto (PBE does the work, PBEStorage is a value object for storing the IV/ciphertext together."""	"[""'Others'""]"
o	""")."""	"[""'Others'""]"
o	"""@erickson Could you post your answer implemented in the example: URL_http://java.sun.com/developer/technicalArticles/Security/AES/AES_v1.html , I am not sure how the password and salt should be correct specified or generated in the latter case?"""	"[""'Others'""]"
o	"""@Astron Sorry, I don't really understand your question."""	"[""'Others'""]"
o	"""Are you asking why the example you linked to doesn't use salt and password?"""	"[""'Others'""]"
n	"""If so, that's because they aren't doing password-based encryption there; the key is a random sequence of bytes, not derived from a password."""	"[""'Security'""]"
n	"""@erickson Sorry, I meant I am looking for a working implementation of the example linked using your password-based encryption."""	"[""'Security'""]"
n	"""I tried plugging in your respective examples into the example but have yet been able to get it to work correctly."""	"[""'Usability'""]"
n	"""I could start a new question but figured it would be helpful for others if it were here as I am not looking for any deviation."""	"[""'Usability'""]"
o	"""This solution does not provide authenticated encryption, does it?"""	"[""'Security'""]"
n	"""Don't we also need to MAC the ciphertext to get authenticated encryption?"""	"[""'Security'""]"
o	"""@EricConner You're right, there is no integrity or authentication provided, only privacy."""	"[""'Security'""]"
o	"""In order to get authentication, I'd recommend a different mode, like CCM, if your provider supports it (the SunJCE provider doesn't implement any authenticating cipher modes, at least not up through Java 7)."""	"[""'Security'""]"
o	"""Trying to implement this with Doug's code below."""	"[""'Others'""]"
o	"""erickson says to ""Share the password (a char[]) and salt (a byte[]8"" with recipient but then ""send the ciphertext and the iv to the recipient"" which is it?"""	"[""'Others'""]"
o	"""the iv or the salt?"""	"[""'Others'""]"
o	"""They are different correct?"""	"[""'Others'""]"
o	"""@wufoo They different, and you share both."""	"[""'Others'""]"
o	"""You'll probably share the salt (for key derivation) one time, at the same time you set up the password itself."""	"[""'Others'""]"
n	"""But every message you send after that should include the unique IV that was used to encrypt that message (and that message."""	"[""'Others'""]"
n	"""@wufoo By the way, Doug's code has a number of security flaws."""	"[""'Security'""]"
n	"""I can't recommend it as an example."""	"[""'Others'""]"
n	"""@erickson - thanks for the reply."""	"[""'Others'""]"
n	"""Planning on posting my fixes for feedback when I get to that point."""	"[""'Others'""]"
n	"""It's not an ideal place for neophytes (bouncycastle license won't work for me), but with 83k views to the thread a more polished example is really needed."""	"[""'Others'""]"
n	"""I see you've graciously offered to do that below, so I'll wait and see."""	"[""'Others'""]"
n	"""@wufoo The problem with a more developed example is that doing things the ""right way"" would require some encoded structures for transmitting the message and IV, and the PBE parameters."""	"[""'Usability'""]"
o	"""It ends up being not fitting well into this Q&A format, and it's code that you probably don't need to write yourself."""	"[""'Usability'""]"
o	"""@erickson I'm new here, not sure how this works but would you be interested in bounty points to fix up Dougs code?"""	"[""'Others'""]"
n	"""Or maybe a link to a more developed example?"""	"[""'Others'""]"
p	"""I've combed google for days and this exact thread keeps coming up."""	"[""'Others'""]"
o	"""I've only got a couple other examples: URL_http://www.digizol.org/2009/10/java - encrypt-decrypt-jce-salt.html and URL_http://cs.saddleback.edu/rwatkins/CS4B/Crypto/FileEncryptor.html but they are not complete."""	"[""'Usability'""]"
o	"""Requring, as Doug put it, Frankensteining something."""	"[""'Others'""]"
o	"""@erickson I am just storing hashed/encrypted passwords in a database."""	"[""'Security'""]"
n	"""Can your example be used for safe storage of passwords, rather than using a sha1sum of the password and a salt?"""	"[""'Security'""]"
p	"""@AndyNuss This example is for reversible encryption, which generally should not be used for passwords."""	"[""'Security'""]"
o	"""You use the PBKDF2 key derivation to ""hash"" passwords securely."""	"[""'Security'""]"
o	"""That means that in the example above, you'd store the result of tmp.getEncoded() as the hash."""	"[""'Others'""]"
o	"""You should also store the salt and the iterations (65536 in this example) so that you can recompute the hash when someone tries to authenticate."""	"[""'Security'""]"
o	"""In this case, generate the salt with a cryptographic random number generator each time the password is changed."""	"[""'Security'""]"
o	"""For running this code, make sure you have the right Unlimited Strength Jurisdiction Policy Files in your JRE as stated in URL_http://www.ngs.ac.uk/tools/jcepolicyfiles ."""	"[""'Usability'""]"
o	"""Is there a way of doing this without Unlimited Strength Jurisdiction Policy files?"""	"[""'Others'""]"
p	"""@ArchimedesTrajano Not with the Java Cryptography Architecture."""	"[""'Usability'""]"
p	"""I would suggest using AES-128."""	"[""'Usability'""]"
p	"""AES-128 is good."""	"[""'Others'""]"
p	"""NIST recommends it for applications through 2030."""	"[""'Others'""]"
n	"""If you really need AES-256 and can't get it through the JCA, you can use a non-standard API, like BouncyCastle's ""lightweight"" crypto API directly to bypass the restrictions."""	"[""'Performance'""]"
o	"""I can't speak to the Others ramifications of doing so (your software might be ilOthers to import into certain regions)."""	"[""'Others'""]"
o	"""+1 but if you send the encrypted data over the network as implied in the answer you have to make sure that integrity of the message is ensured."""	"[""'Security'""]"
o	"""In other words you need to generate another key to use a MAC, or you could use an authenticated mode of encryption such as GCM."""	"[""'Security'""]"
n	"""After reading through erickson's suggestions, and gleaning what I could from a couple other postings and this example URL_http://cs.saddleback.edu/rwatkins/CS4B/Crypto/FileEncryptor.html [here] , I've attempted to update Doug's code with the recommended changes."""	"[""'Others'""]"
o	"""Feel free to edit to make it better."""	"[""'Usability'""]"
o	""" Initialization Vector is no longer fixed encryption key is derived using code from erickson 8 byte salt is generated in setupEncrypt() using SecureRandom() decryption key is generated from the encryption salt and password decryption cipher is generated from decryption key and initialization vector removed hex twiddling in lieu of org.apache.commons URL_http://commons.apache.org/codec/download_codec.cgi [codec] Hex routines Some notes: This uses a 128 bit encryption key - java apparently won't do 256 bit encryption out-of-the-box."""	"[""'Security'""]"
o	"""Implementing 256 requires installing some extra files into the java install directory."""	"[""'Usability'""]"
o	"""Also, I'm not a crypto person."""	"[""'Security'""]"
o	"""Take heed."""	"[""'Others'""]"
p	"""CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	""" Consider using the URL_http://docs.spring.io/spring- security/site/docs/3.1.x/reference/crypto.html [Spring-Security-Crypto-Module] The Spring Security Crypto module provides support for symmetric encryption, key generation, and password encoding."""	"[""'Security'""]"
p	"""The code is distributed as part of the core module but has no dependencies on any other Spring Security (or Spring) code."""	"[""'Usability'""]"
o	"""It's provides a simple abstraction for encryption and seems to match what's required here, The ""standard"" encryption method is 256-bit AES using PKCS PBKDF2 (Password-Based Key Derivation Function """	"[""'Security'""]"
o	"""This method requires Java 6."""	"[""'Usability'""]"
p	"""The password used to generate the SecretKey should be kept in a secure place and not be shared."""	"[""'Security'""]"
