ManualLabel	Text	codes
o	"""This is what I mean."""	"[""'Others'""]"
o	"""If CSS is in a <style> tag, it will be interpreted as text."""	"[""'Others'""]"
o	"""Check out URL_http://web-harvest.sourceforge.net/ [Web-Harvest] ."""	"[""'Others'""]"
o	"""It's both a library you can use and a data extraction tool, which sounds to me that's exactly what you want to do."""	"[""'Usability'""]"
o	"""You create XML script files to instruct the scraper how to extract the information you need and from where."""	"[""'Usability'""]"
p	"""The provided GUI is very useful to quickly test the scripts."""	"[""'Usability'""]"
o	"""Check out the URL_http://web-harvest.sourceforge.net/samples.php [project's -samples-page] to see if it's a good fit for what you are trying to do."""	"[""'Others'""]"
p	"""+1 for Web Harvest -- if you are trying to do page scraping it is the way to go."""	"[""'Usability'""]"
p	"""The best known are URL_http://nekohtml.sourceforge.net/ [NekoHTML] and URL_http://jtidy.sourceforge.net/ [JTidy] ."""	"[""'Others'""]"
p	"""NekoHTML is based on Xerces, and provides a simple adaptable URL_http://nekoht ml.sourceforge.net/javadoc/org/cyberneko/html/parsers/SAXParser.html [SAXParser] which implements URL_http://java.sun.com/javase/6/docs/api/org/xml/sax/XMLReader.html [XMLReader] JavaSE interface."""	"[""'Usability'""]"
p	"""JTidy is more intented into formatting your html code into something XML- valid, but is still very useful as an XML parser, producing a DOM tree if needed."""	"[""'Usability'""]"
o	"""You could have a look at URL_http://java-source.net/open-source/html-parsers [this-list] for other alternatives."""	"[""'Others'""]"
o	"""Another choice could be to use URL_http://github.com/whymirror/hpricot [hpricot] through jRuby."""	"[""'Others'""]"
o	"""Why?"""	"[""'Others'""]"
o	"""which features do they have?"""	"[""'Others'""]"
o	"""added some details."""	"[""'Others'""]"
n	"""SAX is not what I want and main purpose of JTidy is cleaning an XML."""	"[""'Usability'""]"
o	"""Are you sure that it does what i want better than others?"""	"[""'Others'""]"
o	"""what do you want exactly, then ?"""	"[""'Others'""]"
o	"""It should be DOM based."""	"[""'Others'""]"
o	"""and I want extraction as it's main job not transformation."""	"[""'Usability'""]"
o	"""It doesn't matter what its ""main"" job is, as long as it does what you want it to do."""	"[""'Usability'""]"
o	"""URL_http://about.validator.nu/htmlparser/ [Validator.nu's-HTML-parser] , definitely."""	"[""'Others'""]"
o	"""It's an implementation of the HTML5 parsing algorithm, and Gecko is in the process of replacing its own HTML parser with a C++ translation of this one."""	"[""'Others'""]"
p	"""URL_http://tika.apache.org/ [Apache-Tika] is the best choice."""	"[""'Others'""]"
o	"""Apache has recently extracted many sub-projects out of the existing projects and made them public."""	"[""'Others'""]"
o	"""Tika is one of them that was previously a component of Apache Lucene."""	"[""'Others'""]"
p	"""Because of Apache's support and reputation and the widely-used parent project Lucene it must be a very good choice."""	"[""'Usability'""]"
p	"""Furthermore, it is open-source."""	"[""'Others'""]"
o	"""A brief introduction from Apache Tika web site: The Apache Tika toolkit detects and extracts metadata and structured text content from various documents using existing parser libraries."""	"[""'Usability'""]"
o	"""And the supported formats are: CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
p	"""Apache Tika is an excellent suggestion."""	"[""'Others'""]"
o	"""Even if you are not interested in reading XML/HTML/MS DOC formats you can just specify ""text/plain""."""	"[""'Usability'""]"
o	"""It will stream in the data so it doesn't need to preload the whole file first."""	"[""'Usability'""]"
p	"""List of benefits: URL_http://tika.apache.org/1.4/parser.html Article with sample code: URL_http://www.openlogic.com/wazi/bid/314389/Content-mining-with-Apache-Tika ."""	"[""'Others'""]"
p	"""I came for a solid HTML Parser, and left with one that I won't have to spend the time to generalize."""	"[""'Usability'""]"
p	"""I love this game."""	"[""'Others'""]"
o	"""you probably want to look at doing something like running Mozilla in headless mode."""	"[""'Others'""]"
o	"""Here is a URL_http://www.holovaty.com/writing/headless-html-rendering- engine/ [link] to get you started, I am sure you can use Google to find out more information."""	"[""'Others'""]"
n	"""Well: there aren't so many good HTML parsers in java as you need, but here are some alternatives: URL_http://java-source.net/open-source/html-parsers [http ://java-source.net/open-source/html-parsers] Very few of them support Javascript."""	"[""'Usability'""]"
o	"""Actually, I think you'll have to do this part on your own using Rhino ( URL_http://www.mozilla.org/rhino/) ."""	"[""'Usability'""]"
p	"""I think that URL_http://htmlcleaner.sourceforge.net/ [HTML-Cleaner] is what you're looking for."""	"[""'Others'""]"
o	"""See its URL_http://www.theserverside.com/news/thread.tss?thread_id=50059 [announcement] on TheServerSide to see how it compare to JTidy, TagSoup, NekoHtml."""	"[""'Others'""]"
p	"""But this is also for transforming into well XMLs."""	"[""'Usability'""]"
o	"""My main goal is extracting data from it."""	"[""'Others'""]"
o	"""@Shayan So what?"""	"[""'Others'""]"
n	"""Doesn't it allow you to extract data from it?"""	"[""'Usability'""]"
n	"""Doesn't it offer DOM manipulation?"""	"[""'Usability'""]"
n	"""Doesn't it allow to parse nasty HTML?"""	"[""'Usability'""]"
n	"""I don't get you."""	"[""'Others'""]"
o	"""Which is the best library for XML parsing in java."""	"[""'Others'""]"
n	"""I'm searching the java library for parsing XML (complex configuration and data files), I googled a bit but couldn't found other than dom4j (Seems like they are working on V2).."""	"[""'Others'""]"
n	"""I have taken look at commons configuration but didn't liked it, Other apache projects on XML seems under hibernation."""	"[""'Others'""]"
o	"""I haven't evaluated dom4j by myself but just wanted to know - Do java has other (Good) open source xml parsing library?"""	"[""'Others'""]"
o	"""and how's your experience with dom4j?"""	"[""'Usability'""]"
o	"""After the @Voo's answer let me ask another one - Should I use java's in built classes or any third library like dom4j.. What are the advantages?"""	"[""'Usability'""]"
o	"""Can you define good?"""	"[""'Others'""]"
o	"""Performance, quality of API, something else?"""	"[""'Others'""]"
p	"""Performance and ease of use (yes, Quality of API)."""	"[""'Usability'""]"
p	"""Performance and ease of use (yes, Quality of API)."""	"[""'Performance'""]"
o	"""You've not posted any specific reasons for not using Java's native implementations."""	"[""'Usability'""]"
p	"""vtd-xml will be the one to beat for performance/memory usage and ease of use."""	"[""'Usability'""]"
p	"""vtd-xml will be the one to beat for performance/memory usage and ease of use."""	"[""'Performance'""]"
p	"""Actually Java supports 4 methods to parse XML out of the box: DOM Parser/Builder: The whole XML structure is loaded into memory and you can use the well known DOM methods to work with it."""	"[""'Usability'""]"
p	"""DOM also allows you to write to the document with Xslt transformations.Example: CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
o	"""SAX Parser: Solely to read a XML document."""	"[""'Others'""]"
o	"""The Sax parser runs through the document and calls callback methods of the user."""	"[""'Others'""]"
o	"""There are methods for start/end of a document, element and so on."""	"[""'Others'""]"
p	"""They're defined in org.xml.sax.ContentHandler and there's an empty helper class DefaultHandler."""	"[""'Others'""]"
o	"""CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
p	"""StAx Reader/Writer: This works with a datastream oriented interface."""	"[""'Usability'""]"
o	"""The program asks for the next element when it's ready just like a cursor/iterator."""	"[""'Others'""]"
p	"""You can also create documents with it."""	"[""'Usability'""]"
o	"""Read document: CODESNIPPET_JAVA3 ."""	"[""'Others'""]"
o	"""Write document: CODESNIPPET_JAVA4 ."""	"[""'Others'""]"
o	"""JAXB: The newest implementation to read XML documents: Is part of Java 6 in v2."""	"[""'Others'""]"
p	"""This allows us to serialize java objects from a document."""	"[""'Usability'""]"
o	"""You read the document with a class that implements a interface to javax.xml.bind.Unmarshaller (you get a class for this from JAXBContext.newInstance)."""	"[""'Usability'""]"
p	"""The context has to be initialized with the used classes, but you just have to specify the root classes and don't have to worry about static referenced classes.You use annotations to specify which classes should be elements (@XmlRootElement) and which fields are elements(@XmlElement) or attributes (@XmlAttribute, what a surprise!"""	"[""'Usability'""]"
o	""") CODESNIPPET_JAVA5 ."""	"[""'Others'""]"
o	"""Write document: CODESNIPPET_JAVA6 ."""	"[""'Others'""]"
n	"""Examples shamelessly copied from some old lecture slides ;-) Edit: About ""which API shoild I use?""."""	"[""'Others'""]"
p	"""Well it depends - not all APIs have the same capabilities as you see, but if you have control over the classes you use to map the XML document JAXB is my personal favorite, really elegant and simple solution (though I haven't used it for really large documents, it could get a bit complex)."""	"[""'Usability'""]"
p	"""SAX is pretty easy to use too and just stay away from DOM if you don't have a really good reason to use it - old, clunky API in my opinion."""	"[""'Usability'""]"
p	"""I don't think there are any modern 2rd party libraries that feature anything especially useful that's missing from the stl and the standard libraries have the usual advantages of being extremely well tested, documented and stable."""	"[""'Usability'""]"
p	"""I don't think there are any modern 3rd party libraries that feature anything especially useful that's missing from the stl and the standard libraries have the usual advantages of being extremely well tested, documented and stable."""	"[""'Performance'""]"
p	"""I want to note one thing: old doesn't mean bad."""	"[""'Others'""]"
p	"""2005 is not Jurassic period and I think you shouldn't dismiss a library (in Java, at least) because it hasn't been updated for 4 years."""	"[""'Usability'""]"
p	"""2005 is not Jurassic period and I think you shouldn't dismiss a library (in Java, at least) because it hasn't been updated for 5 years."""	"[""'Others'""]"
o	"""In fact, the last major update of Java we had approximately at the same time."""	"[""'Others'""]"
o	"""And when was XML standard finalized?"""	"[""'Others'""]"
n	"""I bet more than 10 years ago."""	"[""'Others'""]"
p	"""I'm not saying it is bad.. but there may be other libraries which are worth noticing :)."""	"[""'Others'""]"
p	"""+1 - Just because a standard is 5 years old doesn't mean implementations of that standard don't continue to release new versions which are faster, more robust, and contain extensions."""	"[""'Performance'""]"
o	"""I would be more concerned about using a proprietary library that hasn't released so much as a patch in a couple of years."""	"[""'Others'""]"
p	"""Nikita's point is an excellent one: don't confuse mature with bad."""	"[""'Others'""]"
o	"""XML hasn't changed much."""	"[""'Others'""]"
p	"""JDOM would be another alternative to DOM4J."""	"[""'Usability'""]"
o	"""Which one will you choose and why?"""	"[""'Others'""]"
n	"""It doesn't really much matter."""	"[""'Others'""]"
o	"""Both are wrappers of the SAX and DOM parsers built into the JDK."""	"[""'Usability'""]"
n	"""The W3C Document hierarchy is verbose and hard to use, so both DOM4J and JDOM try to make it easier."""	"[""'Usability'""]"
o	"""I like Elliott Rusty Harold, so I tend to reach for JDOM first."""	"[""'Others'""]"
p	"""Java supports two methods for XML parsing out of the box."""	"[""'Usability'""]"
p	""" You can use this parser if you want to parse large XML files and/or don't want to use a lot of memory."""	"[""'Performance'""]"
p	"""URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/SAXParserFa ctory.html [ URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/SAX ParserFactory.html] Example: URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-sax- parser/ [ URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-sax-parser/ ] You can use this parser if you need to do XPath queries or need to have the complete DOM available."""	"[""'Usability'""]"
o	"""URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/DocumentBui lderFactory.html [ URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parse rs/DocumentBuilderFactory.html] Example: URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-dom- parser/ [ URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-dom-parser/ ] ."""	"[""'Others'""]"
p	"""For folks interested in using JDOM, but afraid that hasn't been updated in a while (especially not leveraging Java generics), there is a fork called CoffeeDOM which exactly addresses these aspects and modernizes the JDOM API, read more here: URL_http://cdmckay.org/blog/2011/05/20/introducing-coffeedom-a-jdom-fork-for- java-5/ [ URL_http://cdmckay.org/blog/2011/05/20/introducing-coffeedom-a-jdom-fork - for-java-5/] and download it from the project page at: URL_http://coffeedom.googlecode.com/ [ URL_http://coffeedom.googlecode.com/ ] ."""	"[""'Usability'""]"
p	"""Sax parser is a good one, it is simple with their event-driven API, Have a look at: URL_http://www.asjava.com/java-xml/how-to-read-xml-file-via-sax- parser-in-java/ [ URL_http://www.asjava.com/java-xml/how-to-read-xml-file-via-sax - parser-in-java/] ."""	"[""'Usability'""]"
o	"""You don't need an external library for parsing XML in Java."""	"[""'Others'""]"
p	"""Java has come with built-in implementations for SAX and DOM for ages."""	"[""'Usability'""]"
n	"""Look at vtd-XML, DOM and SAX are somewhat ancient APIs that has not been updated/improved for a while."""	"[""'Others'""]"
o	"""If you want a DOM-like API - that is, one where the XML parser turns the document into a tree of Element and Attribute nodes - then there are at least four to choose from: DOM itself, JDOM, DOM4J, and XOM."""	"[""'Usability'""]"
n	"""The only possible reason to use DOM is because it's perceived as a standard and is supplied in the JDK: in all other respects, the others are all superior."""	"[""'Usability'""]"
p	"""My own preference, for its combination of simplicity, power, and performance, is XOM."""	"[""'Performance'""]"
o	"""And of course, there are other styles of processing: low-level parser interfaces (SAX and StAX), data-object binding interfaces (JAXB), and high- level declarative languages (XSLT, XQuery, XPath)."""	"[""'Others'""]"
o	"""Which is best for you depends on your project requirements and your personal taste."""	"[""'Others'""]"
o	"""DOM is a W3C standard ( URL_http://www.w3.org/DOM/) ."""	"[""'Others'""]"
o	"""The Java implementation of this standard is covered by the JAXP standard ( URL_http://jcp.org/en/jsr/detail?id=206) ."""	"[""'Others'""]"
o	"""JAXP is then implemented by different providers such as: Oracle, Apache, etc."""	"[""'Others'""]"
o	"""XML serialization in Java?"""	"[""'Others'""]"
o	"""Is there a (preferably free) Java analogue of .NET's XML serialization?"""	"[""'Others'""]"
p	"""URL_http://xstream.codehaus.org/ [XStream] is pretty good at serializing object to XML without much configuration and money!"""	"[""'Usability'""]"
o	"""(it's under BSD license)."""	"[""'Others'""]"
p	"""We used it in one of our project to replace the plain old java-serialization and it worked almost out of the box."""	"[""'Usability'""]"
p	"""Very useful, it can have problems on complecated tree structures such as JGraph with non string node objects though."""	"[""'Usability'""]"
p	"""Simpler and better then other solutions."""	"[""'Usability'""]"
p	"""I like XStream."""	"[""'Others'""]"
n	"""Only thing is that I don't understand why a character is added before the actual XML."""	"[""'Others'""]"
o	"""The ""Official"" Java API for this is now JAXB - Java API for XML Binding."""	"[""'Others'""]"
o	"""The reference implementation lives at URL_http://jaxb.java.net/ [ URL_http://jaxb.java.net/ ] ."""	"[""'Others'""]"
p	"""That's right, JAXB is definitely the best option!."""	"[""'Others'""]"
o	"""You may want to look at URL_http://simple.sourceforge.net/ [Simple] , its the closest thing I've found to the System.Xml.Serialization in .Net."""	"[""'Others'""]"
n	"""It does however require mapping annotations for each field."""	"[""'Usability'""]"
n	"""Not true, I doesn't require."""	"[""'Others'""]"
o	"""You can change default behaviour and it will use only present fields."""	"[""'Usability'""]"
o	"""JAXB is part of JDK standard edition version 1.6+."""	"[""'Others'""]"
p	"""So it is CODETERM1 and no extra libraries to download and manage.A simple example can be found URL_ht tp://www.java2s.com/Code/Java/JDK-6/MarshalJavaobjecttoxmlandoutputtoconsole.h tm [here] XStream seems to be dead."""	"[""'Usability'""]"
o	"""Last update was on Dec 6 2008."""	"[""'Others'""]"
p	"""CODETERM2 seems as easy and simpler as JAXB but I could not find any licensing information to evaluate it for enterprise use."""	"[""'Usability'""]"
p	"""XStream is not dead, it is just mature and stable -- meaning there isn't much to add to core functionality."""	"[""'Usability'""]"
n	"""Same is actually true for JAXB reference implementation, not much activity for past couple of years."""	"[""'Others'""]"
p	"""URL_http://xmlbeans.apache.org/ [XMLBeans] works great if you have a schema for your XML."""	"[""'Usability'""]"
p	"""It creates Java objects for the schema and creates easy to use parse methods."""	"[""'Usability'""]"
o	"""Worth mentioning that since version 1.4, Java had the classes java.beans.XMLEncoder and java.beans.XMLDecoder."""	"[""'Others'""]"
p	"""These classes perform XML encoding which is at least very comparable to XML Serialization and in some circumstances might do the trick for you."""	"[""'Others'""]"
p	"""If your class sticks to the JavaBeans specification for its getters and setters, this method is straightforward to use and you don't need a schema."""	"[""'Usability'""]"
o	"""With the following caveats: As with normal Java serialization coding and decoding run over a InputStream and OutputStream the process uses the familar writeObject and readObject methods In contrast to normal Java serialization the encoding but also decoding causes constructors and initializers to be invoked encoding and decoding work regardless if your class implements Serializable or not transient modifiers are not taken into account works only for public classes, that have public constructors For example, take the following declaration: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""Executing this code: CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
o	"""Would result in the following file: CODESNIPPET_JAVA3 ."""	"[""'Others'""]"
o	"""Usually I use URL_http://jaxb.java.net/ [jaxb] or URL_http://xmlbeans.apache.org/ [XMLBeans] if I need to create objects serializable to XML."""	"[""'Others'""]"
p	"""Now, I can see that URL_http://xstream.codehaus.org/ [XStream] might be very useful as it's nonintrusive and has really simple api."""	"[""'Usability'""]"
p	"""I'll play with it soon and probably use it."""	"[""'Others'""]"
n	"""The only drawback I noticed is that I can't create object's id on my own for cross referencing."""	"[""'Usability'""]"
p	"""@Barak Schiller Thanks for posting link to XStream!"""	"[""'Others'""]"
n	"""Problem is jaxb and xmlbeans require a mapping schema and arent auto ..."""	"[""'Others'""]"
o	"""Don't forget URL_http://jibx.sourceforge.net/ [JiBX] ."""	"[""'Others'""]"
p	"""if you want a solution** (like ORM) then JAXB2 is a good solution."""	"[""'Usability'""]"
o	"""If you want a serialization like DOT NET then you could use URL_http://java.sun.com/products/jfc/tsc/articles/persistence3/ [Long-Term- Persistence-of-JavaBeans-Components] The choice depends on use of serialization."""	"[""'Usability'""]"
o	"""If you're talking about automatic XML serialization of objects, check out URL_http://www.castor.org/ [Castor] : Castor is an Open Source data binding framework for Java[tm]."""	"[""'Others'""]"
p	"""It's the shortest path between Java objects, XML documents and relational tables."""	"[""'Usability'""]"
p	"""Castor provides Java-to-XML binding, Java-to-SQL persistence, and more."""	"[""'Usability'""]"
o	"""Rhino print function."""	"[""'Others'""]"
o	"""I'm using Rhino 1.7R4 and env.js 1.2 to run Javascript code inside Java I want to print from my Javascript code a string to the Java console."""	"[""'Usability'""]"
o	"""According to: URL_http://evilroundabout.blogspot.com.au/2009/11/javascript- printing-rhino.html [ URL_http://evilroundabout.blogspot.com.au/2009/11/javascript - printing-rhino.html] I should use: print(""Hello world""); but when I do I get: CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
o	"""If I use document.write I don't see any output."""	"[""'Usability'""]"
o	"""Bring your javascript and java code."""	"[""'Others'""]"
p	"""You can use the same scope that the rhino shell uses quite easily."""	"[""'Usability'""]"
o	"""The rhino shell relies on a specially constructed scope instance called Global which defines several functions like ""print""."""	"[""'Others'""]"
o	"""The sample below demonstrates how to use Global and the ""print"" function.This will print ""Hello World!"""	"[""'Usability'""]"
o	""""" twice to stdout."""	"[""'Others'""]"
o	"""CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""I discovered this through experimentation after digging through the URL_https: //github.com/mozilla/rhino/blob/master/toolsrc/org/mozilla/javascript/tools/sh ell/Main.java [Rhino-shell-executable] ."""	"[""'Others'""]"
o	"""And for the sake of completeness here are the other global functions defined by URL_https://github.com/mozilla/rhino/blob/master/toolsrc/org/mozilla/javasc ript/tools/shell/Global.java [Global] : CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
o	"""see update in my answer."""	"[""'Others'""]"
o	"""I don't think that will work in embedded mode, I think that will only work in the Rhino console."""	"[""'Usability'""]"
o	"""You can use java.lang.system.out.println."""	"[""'Usability'""]"
p	"""This should work:- CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
o	"""You can create your own: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""as of january, 2014, the list of methods and properties on CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
o	"""would appear to be the following: CODESNIPPET_JAVA2 ."""	"[""'Others'""]"
o	"""How to trace a NullPointerException in a chain of getters."""	"[""'Others'""]"
o	"""If I get a NullPointerException in a call like this: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
n	"""I get a rather useless exception text like: CODESNIPPET_JAVA2 ."""	"[""'Usability'""]"
n	"""I find it rather hard to find out wich call actually returend null, often finding myself refactoring the code to something like this: CODESNIPPET_JAVA3 ."""	"[""'Usability'""]"
o	"""and then waiting for a more descriptive NullPointerException that tells me which line to look for."""	"[""'Usability'""]"
n	"""Some of you might argue that concatening getters is bad style and should be avoided anyway, but my Question is: Can I find the Others without changing the code?"""	"[""'Usability'""]"
n	"""Hint: I'm using eclipse and I know what a deOthersger is, but I can't figuere out how to apply it to the problem."""	"[""'Usability'""]"
o	""" conclusion on the answers:** Some answers told me that I should not chain getters one after another, some answers showed my how to deOthers my code if I disobayed that advice."""	"[""'Others'""]"
p	"""I've accepted an answer that taught me excactly when to chain getters: If they cannot return null, chain them as long as you like."""	"[""'Usability'""]"
p	"""No need for checking != null, no need to worry about NullPointerExceptions (_be warned that chaining still vialotes the law of demeter, but I can live with that_) If they may return null, don't ever, never ever chain them, and perform a check for null values on each one that may return null This makes any good advice on actual deOthersging useless."""	"[""'Usability'""]"
o	"""Now I see that this could have been two seperate questions: 1."""	"[""'Others'""]"
o	"""How can I avoid a NPE when using chained getters, 2."""	"[""'Others'""]"
o	"""How can I trace the probrem if I didn't avoid the NPE."""	"[""'Others'""]"
n	"""I'm glad I got good answers to both questions, but it makes it rather hard to chose which answer to accept."""	"[""'Others'""]"
o	"""In IntelliJ IDEA you can set _exceptionbreakpoints_."""	"[""'Others'""]"
o	"""Those breakpoints fire whenever a specified exception is thrown (you can scope this to a package or a class)."""	"[""'Others'""]"
p	"""That way it should be easy to find the source of your NPE."""	"[""'Others'""]"
o	"""I would assume, that you can do something similar in netbeans or eclipse."""	"[""'Others'""]"
o	"""EDIT: URL_http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.jdt.doc."""	"[""'Others'""]"
o	"""user/reference/views/breakpoints/ref-addexception_viewaction.htm [Here] is an explanation on how to add an exceptionbreakpoint in eclipse ."""	"[""'Others'""]"
o	"""You can set exception breakpoints in Eclipse as well."""	"[""'Usability'""]"
o	"""You cannot scope them by class/package but that should not be a problem in this case because the breakpoint needs to be activated only one execution reaches the chained getters."""	"[""'Usability'""]"
p	"""This technique is only useful if your tests identify the source of every possible NPE."""	"[""'Usability'""]"
o	"""In production you cannot run your code in a deOthersger so any NPE will still generate an unhelpful stack trace."""	"[""'Usability'""]"
o	"""If you find yourself often writing: CODESNIPPET_JAVA1 ."""	"[""'Others'""]"
n	"""this is probably a code smell and should be avoided."""	"[""'Others'""]"
o	"""You can refactor, for example, into CODETERM1 which calls CODETERM2 which calls CODETERM3 which calls CODETERM4 ."""	"[""'Others'""]"
p	"""(This example may not make sense for your particular use case, but it's one pattern for fixing this code smell."""	"[""'Usability'""]"
p	""") See also the URL_http://c2.com/cgi/wiki?LawOfDemeter [Law-of-Demeter] , which says: Your method can call other methods in its class directly Your method can call methods on its own fields directly (but not on the fields' fields) When your method takes parameters, your method can call methods on those parameters directly."""	"[""'Others'""]"
o	""" When your method creates local objects, that method can call methods on the local objects."""	"[""'Others'""]"
o	"""Therefore, one should not have a chain of messages, e.g."""	"[""'Others'""]"
o	"""CODETERM5 ."""	"[""'Others'""]"
p	"""Following this ""law"" has many more benefits apart from making NullPointerExceptions easier to deOthers."""	"[""'Usability'""]"
n	"""NPE is the most useless Exception in Java, period."""	"[""'Usability'""]"
n	"""It seems to be always lazily implemented and never tells exactly what caused it, even as simple as ""class x.y.Z is null"" would help a lot in deOthersging such cases."""	"[""'Usability'""]"
p	"""Anyway, the only good way I've found to find the NPE thrower in these cases is the following kind of refactoring: CODESNIPPET_JAVA1 ."""	"[""'Usability'""]"
p	"""There you have it, now NPE points to correct line and thus correct method which threw the actual NPE."""	"[""'Usability'""]"
p	"""Not as elegant solution as I'd want it to be, but it works."""	"[""'Usability'""]"
p	"""Wow, didn't ever try that because it seemed too easy."""	"[""'Usability'""]"
o	"""I just thought Java would still treat it like one single line."""	"[""'Usability'""]"
o	"""I will have a try on it..."""	"[""'Usability'""]"
o	"""The answer depends on how you view (the contract of) your getters."""	"[""'Others'""]"
o	"""If they may return CODETERM1 you should really check the return value each time."""	"[""'Others'""]"
o	"""If the getter should not return CODETERM2 , the getter should contain a check and throw an exception ( CODETERM3 ?"""	"[""'Others'""]"
n	""") instead of returning CODETERM4 , that you promised never to return."""	"[""'Others'""]"
o	"""The stacktrace will point you to the exact getter."""	"[""'Others'""]"
o	"""You could even put the unexpected state your getter found in the exception message."""	"[""'Others'""]"
n	"""Getters should never contain side-effect logic, this muddles the code and causes even more confusion than the original problem."""	"[""'Usability'""]"
p	"""Especially since a popular testing paradigm to take is to not test the getters and setters, since they're supposed to be simple."""	"[""'Usability'""]"
